n_foragers,perception,forward_bias,rep,gini,mean_latency
4,0.8,0.3,4,0.08284023668639051,1.1612903225806452
4,0.8,0.3,5,0.029585798816567976,1.2317073170731707
4,0.8,0.7,0,0.12399274478903388,1.3316582914572865
4,0.8,0.7,1,0.10018897735369747,1.1099476439790577
4,0.8,0.7,2,0.023668639053254337,0.7393939393939394
4,0.8,0.7,3,0.158372644725002,0.8018433179723502
4,0.8,0.7,4,0.06593406593406592,1.1043956043956045
4,0.8,0.7,5,0.08284023668639051,1.0129032258064516
4,0.8,0.95,0,0.08220398294839981,0.7473118279569892
4,0.8,0.95,1,0.15428855831443888,1.2429906542056075
4,0.8,0.95,2,0.04786915763579547,0.8707865168539326
4,0.8,0.95,3,0.08220398294839981,1.10752688172043
4,0.8,0.95,4,0.15279051032030444,1.136150234741784
4,0.8,0.95,5,0.1290588477729695,1.1144278606965174
4,1.2,0.3,0,0.1460887290846804,0.9856459330143541
4,1.2,0.3,1,0.16186121570736955,0.9727272727272728
4,1.2,0.3,2,0.0171322416402917,0.8953488372093024
4,1.2,0.3,3,0.1656340642765981,0.9176470588235294
4,1.2,0.3,4,0.16993263147109294,1.12987012987013
4,1.2,0.3,5,0.1684314336136199,0.9035087719298246
4,1.2,0.7,0,0.16919750005940926,1.0522088353413654
4,1.2,0.7,1,0.13605240912933225,0.8642857142857143
4,1.2,0.7,2,0.158372644725002,1.1059907834101383
4,1.2,0.7,3,0.15420074019901153,0.846441947565543
4,1.2,0.7,4,0.01183431952662728,0.7964071856287425
4,1.2,0.7,5,0.14073013906393528,0.9350180505415162
4,1.2,0.95,0,0.07692307692307687,0.8269230769230769
4,1.2,0.95,1,0.1530071535812063,1.0111940298507462
4,1.2,0.95,2,0.13379193750546525,1.064039408866995
4,1.2,0.95,3,0.07051282051282048,0.7660256410256411
4,1.2,0.95,4,0.1713469060274797,1.1779661016949152
4,1.2,0.95,5,0.07294659335223264,0.7556270096463023
4,2.0,0.3,0,0.0,0.6479289940828402
4,2.0,0.3,1,0.025898814769518497,0.6109422492401215
4,2.0,0.3,2,0.10455641224871992,0.6161616161616161
4,2.0,0.3,3,0.0,0.7928994082840237
4,2.0,0.3,4,0.05688319330478264,0.569060773480663
4,2.0,0.3,5,0.014145979609087922,0.685131195335277
4,2.0,0.7,0,0.09891371544643635,0.5472636815920398
4,2.0,0.7,1,0.09891371544643635,0.4427860696517413
4,2.0,0.7,2,0.005881938574246126,0.6607142857142857
4,2.0,0.7,3,0.10089405260657358,0.5206812652068127
4,2.0,0.7,4,0.09554713276797644,0.5184331797235023
4,2.0,0.7,5,0.002932397758810268,0.616519174041298
4,2.0,0.95,0,0.09818540433925049,0.5533333333333333
4,2.0,0.95,1,0.08484337317642088,0.5256124721603563
4,2.0,0.95,2,0.10096153846153832,0.6274038461538461
4,2.0,0.95,3,0.05688319330478264,0.5414364640883977
4,2.0,0.95,4,0.09383505070884057,0.5308924485125858
4,2.0,0.95,5,0.10009619028186667,0.5960591133004927
