cell.no.,nest,X_new,Y_new,X,Y,Slice,contents,contents.new,stages,Remark,cell_ed,FL_freq
95,v14,8.129,3.697,8.129,6.003,60,L,L,i5,,2.084773,9
96,v14,8.533,3.814,8.533,5.886,63,L,L,i3,,2.3546292,4
97,v14,9.044,3.841,9.044,5.859,68,E,E,E,,2.7980547,0
98,v14,9.35,4.029,9.35,5.671,68,E,E,E,,3.0148198,NA
99,v14,6.218,2.773,6.218,6.927,74,E,E,E,,2.231219,NA
100,v14,6.55,2.737,6.55,6.963,74,E,E,E,,2.2511431,NA
101,v14,7.214,2.674,7.214,7.026,74,P,P,P,,2.423563,0
102,v14,7.716,2.917,7.716,6.783,74,E,E,E,,2.405354,0
103,v14,8.022,3.141,8.022,6.559,75,L,L,i1,,2.3981994,0
104,v14,8.443,3.32,8.443,6.38,70,E,E,E,,2.5667608,0
105,v14,8.847,3.482,8.847,6.218,69,E,E,E,,2.7953973,0
106,v14,9.206,3.572,9.206,6.128,72,L,L,i1,,3.0612838,1
107,v14,7.591,2.612,7.591,7.088,72,X,X,X,,2.6174805,NA
108,v14,7.986,2.737,7.986,6.963,72,L,L,i1,,2.7013996,0
109,v14,8.372,2.89,8.372,6.81,72,E,E,E,,2.816922,0
110,v14,8.766,2.979,8.766,6.721,72,P,P,P,,3.0342467,NA
111,v14,7.932,2.495,7.932,7.205,72,E,E,E,,2.878685,NA
112,v14,8.3,2.576,8.3,7.124,72,E,E,E,,3.0141673,NA
113,v14,4.244,6.102,4.244,3.598,72,X,X,X,,2.5087699,NA
114,v14,4.504,5.33,4.504,4.37,72,E,E,E,,2.016881,NA
