giver,receiver,amt,time,bout_id
21,19,2,3,
21,19,2,3,1.0
21,11,2,3,
21,11,2,3,1.0
21,5,2,3,
21,5,2,3,1.0
5,7,2,3,
5,7,2,3,1.0
21,1,2,3,
21,1,2,3,1.0
21,26,2,4,
21,26,2,4,2.0
21,22,2,5,
21,22,2,5,2.0
21,5,1,5,
21,5,1,5,2.0
21,18,2,5,
21,18,2,5,3.0
5,13,1,5,
5,13,1,5,3.0
21,9,2,5,
21,9,2,5,3.0
21,26,2,6,
21,26,2,6,3.0
21,6,2,6,
21,6,2,6,3.0
21,16,2,6,
21,16,2,6,3.0
21,20,2,6,
21,20,2,6,3.0
20,3,2,6,
20,3,2,6,3.0
16,2,2,6,
16,2,2,6,3.0
3,5,2,6,
3,5,2,6,3.0
5,12,2,6,
5,12,2,6,3.0
12,14,2,6,
12,14,2,6,3.0
21,9,2,7,
21,9,2,7,4.0
21,3,2,7,
21,3,2,7,4.0
3,24,2,7,
3,24,2,7,4.0
21,12,1,7,
21,12,1,7,4.0
12,20,1,7,
12,20,1,7,4.0
21,12,2,8,
21,12,2,8,5.0
12,3,2,8,
12,3,2,8,5.0
3,0,2,8,
3,0,2,8,5.0
21,18,2,8,
21,18,2,8,5.0
21,20,1,9,
21,20,1,9,5.0
13,26,1,9,
13,26,1,9,6.0
21,6,2,9,
21,6,2,9,6.0
20,2,1,9,
20,2,1,9,6.0
21,12,2,10,
21,12,2,10,6.0
21,3,1,10,
21,3,1,10,6.0
3,24,1,10,
3,24,1,10,6.0
12,17,2,10,
12,17,2,10,6.0
21,5,2,23,
21,5,2,23,6.0
5,6,2,23,
5,6,2,23,6.0
21,12,2,23,
21,12,2,23,6.0
12,17,2,24,
12,17,2,24,6.0
21,5,2,24,
21,5,2,24,6.0
21,24,2,24,
21,24,2,24,6.0
5,12,2,24,
5,12,2,24,6.0
21,4,2,24,
21,4,2,24,6.0
21,19,2,24,
21,19,2,24,6.0
21,13,2,28,
21,13,2,28,7.0
21,23,2,28,
21,23,2,28,7.0
13,0,2,28,
13,0,2,28,7.0
23,1,2,28,
23,1,2,28,7.0
1,13,2,29,
1,13,2,29,7.0
21,23,2,29,
