wasp_id,cell_id,amt,time,bout_id
60,4,2,2,
60,4,2,2,2.0
44,23,3,2,
44,23,2,3,2.0
4,24,3,2,
4,24,2,3,2.0
30,14,3,2,
30,14,2,3,2.0
0,173,3,2,
0,173,2,3,2.0
65,6,3,1,
65,6,1,3,3.0
47,181,3,2,
47,181,2,3,3.0
36,14,3,2,
36,14,2,3,3.0
18,328,4,2,
18,328,2,4,3.0
42,4,4,2,
42,4,2,4,3.0
35,14,4,2,
35,14,2,4,3.0
50,15,4,2,
50,15,2,4,4.0
13,166,4,2,
13,166,2,4,5.0
54,8,4,2,
54,8,2,4,5.0
38,166,4,1,
38,166,1,4,5.0
59,2,5,2,
59,2,2,5,5.0
10,15,5,2,
10,15,2,5,6.0
43,319,5,2,
43,319,2,5,6.0
4,25,5,2,
4,25,2,5,6.0
40,158,6,2,
40,158,2,6,6.0
29,174,6,1,
29,174,1,6,7.0
65,159,6,1,
65,159,1,6,7.0
30,6,6,2,
30,6,2,6,7.0
5,24,6,2,
5,24,2,6,7.0
56,171,6,2,
56,171,2,6,7.0
0,14,6,1,
0,14,1,6,8.0
41,3,7,2,
41,3,2,7,11.0
38,2,7,2,
38,2,2,7,11.0
19,165,7,1,
19,165,1,7,11.0
50,7,7,2,
50,7,2,7,11.0
65,7,8,1,
65,7,1,8,11.0
29,183,8,2,
29,183,2,8,11.0
26,6,8,2,
26,6,2,8,11.0
31,25,8,1,
31,25,1,8,11.0
56,171,8,2,
56,171,2,8,12.0
30,159,8,2,
30,159,2,8,12.0
5,23,9,2,
5,23,2,9,12.0
38,2,9,2,
38,2,2,9,12.0
6,173,9,2,
6,173,2,9,12.0
50,2,9,2,
50,2,2,9,12.0
40,158,9,1,
40,158,1,9,12.0
13,9,9,1,
13,9,1,9,12.0
21,3,10,2,
21,3,2,10,12.0
53,6,10,2,
53,6,2,10,12.0
10,14,10,2,
10,14,2,10,12.0
19,14,10,2,
19,14,2,10,12.0
13,168,10,2,
13,168,2,10,13.0
55,171,10,2,
55,171,2,10,14.0
6,14,11,2,
6,14,2,11,14.0
26,2,11,2,
26,2,2,11,14.0
3,35,11,2,
3,35,2,11,14.0
0,23,11,2,
0,23,2,11,14.0
65,15,11,2,
65,15,2,11,14.0
54,4,11,2,
54,4,2,11,14.0
50,3,12,1,
50,3,1,12,14.0
30,175,12,2,
30,175,2,12,14.0
13,10,12,2,
13,10,2,12,14.0
38,2,12,2,
38,2,2,12,14.0
53,0,12,2,
53,0,2,12,14.0
17,13,13,2,
17,13,2,13,14.0
21,160,13,2,
21,160,2,13,14.0
30,17,13,2,
30,17,2,13,14.0
26,2,13,2,
26,2,2,13,14.0
35,13,13,2,
35,13,2,13,14.0
24,174,13,1,
24,174,1,13,14.0
55,164,13,2,
55,164,2,13,14.0
39,172,14,2,
39,172,2,14,14.0
6,22,14,2,
6,22,2,14,14.0
57,172,14,2,
57,172,2,14,14.0
36,158,14,2,
36,158,2,14,14.0
65,184,14,2,
65,184,2,14,14.0
38,2,14,2,
38,2,2,14,15.0
13,167,15,2,
13,167,2,15,15.0
30,175,15,2,
30,175,2,15,15.0
50,161,15,2,
50,161,2,15,16.0
71,34,15,2,
71,34,2,15,16.0
26,2,16,2,
26,2,2,16,16.0
66,24,16,2,
66,24,2,16,16.0
38,2,16,2,
38,2,2,16,16.0
10,2,16,2,
10,2,2,16,16.0
55,158,16,2,
55,158,2,16,16.0
57,171,17,2,
57,171,2,17,16.0
54,10,17,2,
54,10,2,17,16.0
39,180,17,2,
39,180,2,17,16.0
6,328,17,2,
6,328,2,17,16.0
24,22,17,2,
24,22,2,17,16.0
50,4,17,1,
50,4,1,17,16.0
62,180,18,1,
62,180,1,18,16.0
11,14,18,2,
11,14,2,18,16.0
13,160,18,2,
13,160,2,18,17.0
38,2,18,2,
38,2,2,18,17.0
66,175,18,2,
66,175,2,18,17.0
65,161,18,2,
65,161,2,18,17.0
29,43,19,2,
29,43,2,19,17.0
50,3,19,2,
50,3,2,19,17.0
54,18,19,1,
54,18,1,19,17.0
0,32,20,2,
0,32,2,20,17.0
38,2,20,2,
38,2,2,20,17.0
65,166,20,2,
65,166,2,20,17.0
11,165,20,1,
11,165,1,20,17.0
26,2,20,2,
26,2,2,20,17.0
36,2,20,2,
36,2,2,20,17.0
55,2,20,2,
55,2,2,20,18.0
31,182,20,2,
31,182,2,20,18.0
28,182,20,2,
28,182,2,20,18.0
10,166,20,2,
10,166,2,20,18.0
50,2,21,2,
50,2,2,21,18.0
64,161,21,2,
64,161,2,21,19.0
41,3,21,2,
41,3,2,21,19.0
36,160,21,2,
36,160,2,21,19.0
39,34,21,2,
39,34,2,21,19.0
13,1,21,2,
13,1,2,21,19.0
20,8,21,2,
20,8,2,21,19.0
24,13,22,2,
24,13,2,22,19.0
5,164,22,2,
5,164,2,22,19.0
21,161,22,2,
21,161,2,22,19.0
31,183,22,2,
31,183,2,22,19.0
11,2,22,2,
11,2,2,22,19.0
66,176,22,2,
66,176,2,22,19.0
28,26,23,1,
28,26,1,23,19.0
55,1,23,2,
55,1,2,23,19.0
14,35,23,2,
14,35,2,23,20.0
30,176,23,2,
30,176,2,23,21.0
65,167,23,2,
65,167,2,23,21.0
50,1,23,2,
50,1,2,23,21.0
57,6,23,2,
57,6,2,23,21.0
38,3,24,2,
38,3,2,24,21.0
52,3,24,1,
52,3,1,24,21.0
17,172,24,2,
17,172,2,24,21.0
11,2,24,2,
11,2,2,24,21.0
22,161,24,2,
22,161,2,24,21.0
24,6,24,2,
24,6,2,24,21.0
18,182,24,2,
18,182,2,24,21.0
10,3,24,2,
10,3,2,24,21.0
26,2,24,2,
26,2,2,24,21.0
39,182,25,2,
39,182,2,25,21.0
55,1,25,2,
55,1,2,25,22.0
36,15,25,1,
36,15,1,25,22.0
50,159,26,1,
50,159,1,26,22.0
64,5,26,2,
64,5,2,26,22.0
13,14,26,2,
13,14,2,26,22.0
11,2,26,2,
11,2,2,26,22.0
28,176,26,2,
28,176,2,26,22.0
17,23,26,2,
17,23,2,26,22.0
65,175,26,2,
65,175,2,26,22.0
57,158,26,2,
57,158,2,26,22.0
30,25,27,2,
30,25,2,27,22.0
38,3,27,2,
38,3,2,27,22.0
24,1,27,2,
24,1,2,27,22.0
54,26,27,2,
54,26,2,27,22.0
36,24,27,2,
36,24,2,27,22.0
70,3,28,2,
70,3,2,28,22.0
18,173,28,1,
18,173,1,28,22.0
13,165,28,2,
13,165,2,28,22.0
66,176,28,2,
66,176,2,28,22.0
43,183,28,2,
43,183,2,28,22.0
64,5,28,2,
64,5,2,28,22.0
47,328,28,2,
47,328,2,28,22.0
53,172,28,2,
53,172,2,28,22.0
26,166,28,2,
26,166,2,28,22.0
38,3,28,2,
38,3,2,28,22.0
55,160,28,2,
55,160,2,28,22.0
28,18,29,2,
28,18,2,29,22.0
54,176,29,2,
54,176,2,29,22.0
36,25,29,2,
36,25,2,29,22.0
10,4,29,2,
10,4,2,29,22.0
65,175,29,2,
65,175,2,29,22.0
24,159,29,2,
24,159,2,29,22.0
62,181,29,2,
62,181,2,29,22.0
66,176,29,2,
66,176,2,29,22.0
2,2,30,2,
2,2,2,30,22.0
50,7,30,2,
50,7,2,30,22.0
64,5,30,1,
64,5,1,30,22.0
18,24,30,2,
18,24,2,30,22.0
13,1,31,2,
13,1,2,31,22.0
24,165,31,2,
24,165,2,31,22.0
38,160,31,2,
38,160,2,31,22.0
28,17,31,2,
28,17,2,31,22.0
43,25,31,2,
43,25,2,31,22.0
26,167,31,2,
26,167,2,31,22.0
10,162,31,2,
