wasp_id,cell_id,amt,time,bout_id
33,159,24,2,
33,159,2,24,22.0
56,1,24,2,
56,1,2,24,22.0
16,3,24,2,
16,3,2,24,22.0
62,3,24,2,
62,3,2,24,22.0
3,2,24,2,
3,2,2,24,22.0
69,2,25,2,
69,2,2,25,22.0
0,3,25,2,
0,3,2,25,22.0
50,175,25,2,
50,175,2,25,22.0
14,182,25,1,
14,182,1,25,22.0
60,18,25,2,
60,18,2,25,22.0
44,10,25,2,
44,10,2,25,22.0
41,2,25,1,
41,2,1,25,23.0
32,35,26,2,
32,35,2,26,23.0
33,1,26,2,
33,1,2,26,23.0
59,3,26,2,
59,3,2,26,23.0
73,167,26,2,
73,167,2,26,23.0
69,2,27,2,
69,2,2,27,23.0
56,2,27,2,
56,2,2,27,23.0
40,158,27,2,
40,158,2,27,23.0
50,176,27,2,
50,176,2,27,23.0
41,2,27,2,
41,2,2,27,23.0
0,3,27,2,
0,3,2,27,23.0
3,8,27,2,
3,8,2,27,23.0
33,159,28,1,
33,159,1,28,23.0
59,160,28,2,
59,160,2,28,23.0
73,17,28,2,
73,17,2,28,23.0
48,3,28,2,
48,3,2,28,23.0
60,18,28,2,
60,18,2,28,23.0
47,182,28,2,
47,182,2,28,23.0
69,2,29,2,
69,2,2,29,24.0
56,2,29,2,
56,2,2,29,24.0
41,2,29,2,
41,2,2,29,24.0
33,1,29,1,
33,1,1,29,24.0
50,18,29,2,
50,18,2,29,24.0
60,18,30,2,
60,18,2,30,24.0
69,2,30,2,
69,2,2,30,24.0
47,183,30,1,
47,183,1,30,24.0
61,158,30,2,
61,158,2,30,24.0
4,25,30,2,
4,25,2,30,24.0
0,3,30,2,
0,3,2,30,24.0
73,184,30,2,
73,184,2,30,24.0
34,161,31,1,
34,161,1,31,24.0
19,160,31,2,
19,160,2,31,24.0
29,3,31,2,
29,3,2,31,24.0
46,3,31,2,
46,3,2,31,24.0
56,166,31,2,
56,166,2,31,24.0
33,159,31,2,
33,159,2,31,24.0
0,3,32,2,
0,3,2,32,24.0
60,18,32,2,
60,18,2,32,24.0
3,26,32,2,
3,26,2,32,24.0
50,17,32,2,
50,17,2,32,24.0
69,2,32,2,
69,2,2,32,24.0
33,1,33,2,
33,1,2,33,24.0
41,166,33,2,
41,166,2,33,24.0
50,184,33,2,
50,184,2,33,24.0
61,0,35,2,
61,0,2,35,24.0
4,183,35,2,
4,183,2,35,24.0
69,2,35,2,
69,2,2,35,24.0
0,3,35,2,
0,3,2,35,24.0
31,189,36,2,
31,189,2,36,25.0
41,16,36,1,
41,16,1,36,25.0
56,173,36,2,
56,173,2,36,25.0
61,164,37,2,
61,164,2,37,26.0
64,161,37,2,
64,161,2,37,26.0
25,181,37,2,
25,181,2,37,26.0
46,3,37,2,
46,3,2,37,26.0
5,2,37,2,
5,2,2,37,26.0
14,33,37,1,
14,33,1,37,26.0
4,175,38,2,
4,175,2,38,26.0
