giver,receiver,amt,time,bout_id
40,8,2,2,
40,8,2,2,1.0
1,0,2,2,
1,0,2,2,2.0
1,4,2,2,
1,4,2,2,2.0
40,31,2,2,
40,31,2,2,2.0
1,26,2,2,
1,26,2,2,2.0
1,6,2,2,
1,6,2,2,2.0
26,13,2,3,
26,13,2,3,2.0
1,21,2,3,
1,21,2,3,2.0
21,25,2,3,
21,25,2,3,2.0
40,33,2,3,
40,33,2,3,2.0
31,35,2,3,
31,35,2,3,3.0
40,15,2,3,
40,15,2,3,3.0
40,27,2,3,
40,27,2,3,3.0
35,2,2,3,
35,2,2,3,3.0
15,31,2,3,
15,31,2,3,3.0
1,26,2,4,
1,26,2,4,3.0
1,35,2,4,
1,35,2,4,3.0
40,14,2,4,
40,14,2,4,3.0
40,24,2,4,
40,24,2,4,3.0
40,21,2,4,
40,21,2,4,3.0
21,32,2,5,
21,32,2,5,3.0
1,35,2,5,
1,35,2,5,3.0
40,21,2,5,
40,21,2,5,4.0
35,39,2,5,
35,39,2,5,4.0
30,0,2,5,
30,0,2,5,4.0
40,35,2,6,
40,35,2,6,4.0
30,15,2,6,
30,15,2,6,4.0
21,43,2,6,
21,43,2,6,4.0
35,27,2,6,
35,27,2,6,4.0
40,33,2,6,
40,33,2,6,4.0
15,13,2,6,
15,13,2,6,4.0
30,11,2,6,
30,11,2,6,4.0
30,15,2,6,
30,15,2,6,4.0
15,35,2,7,
15,35,2,7,4.0
35,26,2,7,
35,26,2,7,4.0
1,12,2,7,
1,12,2,7,4.0
26,24,2,7,
26,24,2,7,4.0
1,21,2,7,
1,21,2,7,5.0
1,36,2,7,
1,36,2,7,5.0
21,14,2,7,
21,14,2,7,5.0
1,7,1,8,
1,7,1,8,6.0
40,26,2,8,
40,26,2,8,7.0
40,37,2,9,
40,37,2,9,7.0
1,15,2,9,
1,15,2,9,7.0
1,33,2,9,
1,33,2,9,7.0
30,11,2,9,
30,11,2,9,7.0
37,4,2,9,
37,4,2,9,7.0
40,37,2,9,
40,37,2,9,7.0
30,21,2,9,
30,21,2,9,7.0
37,38,2,9,
37,38,2,9,7.0
21,13,2,9,
21,13,2,9,7.0
7,31,1,9,
7,31,1,9,7.0
40,24,2,10,
40,24,2,10,7.0
40,35,2,10,
40,35,2,10,7.0
31,21,1,10,
31,21,1,10,7.0
15,26,2,10,
15,26,2,10,7.0
21,7,1,10,
21,7,1,10,7.0
1,35,2,10,
1,35,2,10,8.0
30,13,2,10,
30,13,2,10,8.0
30,31,2,10,
30,31,2,10,8.0
7,34,1,11,
7,34,1,11,8.0
30,37,2,11,
30,37,2,11,8.0
37,10,2,11,
37,10,2,11,8.0
26,7,2,11,
26,7,2,11,8.0
30,26,2,11,
30,26,2,11,8.0
40,33,2,11,
40,33,2,11,8.0
7,11,2,11,
7,11,2,11,8.0
35,3,2,11,
35,3,2,11,9.0
23,4,2,11,
23,4,2,11,9.0
40,37,2,11,
40,37,2,11,9.0
1,15,2,11,
1,15,2,11,9.0
23,13,2,12,
23,13,2,12,9.0
1,31,2,12,
1,31,2,12,9.0
26,4,2,12,
26,4,2,12,9.0
40,24,2,12,
40,24,2,12,9.0
15,39,2,12,
15,39,2,12,9.0
23,14,2,12,
23,14,2,12,9.0
37,15,2,12,
37,15,2,12,9.0
15,44,2,12,
15,44,2,12,9.0
1,7,2,12,
1,7,2,12,9.0
40,35,2,12,
40,35,2,12,9.0
14,37,2,12,
14,37,2,12,9.0
30,26,2,12,
30,26,2,12,10.0
31,34,2,13,
31,34,2,13,10.0
30,13,2,13,
30,13,2,13,10.0
1,24,2,13,
1,24,2,13,10.0
23,34,2,13,
23,34,2,13,10.0
1,3,2,13,
1,3,2,13,10.0
23,21,2,13,
23,21,2,13,10.0
40,10,2,13,
40,10,2,13,10.0
23,7,2,14,
23,7,2,14,10.0
21,11,2,14,
21,11,2,14,10.0
1,26,1,14,
1,26,1,14,10.0
40,7,2,14,
40,7,2,14,10.0
30,26,2,14,
