wasp_id,cell_id,amt,time,bout_id
13,15,2,1,
13,15,1,2,1.0
17,180,3,2,
17,180,2,3,2.0
5,2,3,2,
5,2,2,3,2.0
8,6,3,2,
8,6,2,3,3.0
1,172,3,2,
1,172,2,3,3.0
5,2,5,2,
5,2,2,5,4.0
0,15,5,2,
0,15,2,5,4.0
3,174,6,2,
3,174,2,6,5.0
1,180,6,2,
1,180,2,6,5.0
20,159,6,2,
20,159,2,6,5.0
2,158,6,1,
2,158,1,6,6.0
4,171,7,2,
4,171,2,7,6.0
9,2,7,2,
9,2,2,7,6.0
14,166,7,2,
14,166,2,7,6.0
13,1,8,1,
13,1,1,8,6.0
18,174,8,2,
18,174,2,8,7.0
3,174,8,1,
3,174,1,8,7.0
6,1,9,2,
6,1,2,9,8.0
2,159,9,1,
2,159,1,9,8.0
19,164,9,2,
19,164,2,9,8.0
8,171,10,2,
8,171,2,10,8.0
2,165,11,2,
2,165,2,11,9.0
17,22,11,2,
17,22,2,11,9.0
15,167,12,1,
15,167,1,12,9.0
0,174,12,2,
0,174,2,12,9.0
5,1,12,2,
5,1,2,12,10.0
14,167,12,1,
14,167,1,12,10.0
3,174,13,2,
3,174,2,13,11.0
18,166,13,2,
18,166,2,13,11.0
17,31,14,2,
17,31,2,14,11.0
13,164,14,2,
13,164,2,14,11.0
20,173,14,1,
20,173,1,14,12.0
6,165,15,2,
6,165,2,15,13.0
5,1,15,2,
5,1,2,15,13.0
18,7,15,2,
18,7,2,15,13.0
0,16,15,2,
0,16,2,15,13.0
3,174,15,2,
3,174,2,15,13.0
1,174,16,1,
1,174,1,16,13.0
2,166,16,2,
2,166,2,16,13.0
20,174,16,2,
20,174,2,16,14.0
14,166,16,2,
14,166,2,16,14.0
6,166,17,2,
6,166,2,17,14.0
20,16,18,2,
20,16,2,18,14.0
13,16,18,2,
13,16,2,18,14.0
14,167,18,2,
14,167,2,18,14.0
5,1,18,2,
5,1,2,18,14.0
3,166,18,2,
3,166,2,18,14.0
15,167,18,2,
15,167,2,18,14.0
0,1,20,2,
0,1,2,20,14.0
5,6,23,2,
5,6,2,23,14.0
6,167,23,2,
6,167,2,23,14.0
18,7,23,2,
18,7,2,23,14.0
15,166,24,2,
15,166,2,24,14.0
20,7,25,2,
20,7,2,25,16.0
5,1,25,2,
5,1,2,25,16.0
13,160,25,2,
13,160,2,25,16.0
18,2,25,2,
18,2,2,25,16.0
0,1,25,2,
0,1,2,25,16.0
19,158,26,2,
19,158,2,26,16.0
6,167,27,1,
6,167,1,27,16.0
18,160,28,2,
18,160,2,28,16.0
8,23,28,2,
8,23,2,28,16.0
15,160,28,2,
15,160,2,28,16.0
13,14,29,2,
13,14,2,29,16.0
15,8,29,2,
15,8,2,29,17.0
20,1,29,2,
20,1,2,29,17.0
1,174,29,1,
1,174,1,29,17.0
0,158,29,2,
0,158,2,29,17.0
18,8,30,2,
18,8,2,30,17.0
6,167,31,1,
6,167,1,31,18.0
18,7,32,2,
18,7,2,32,18.0
2,165,32,2,
2,165,2,32,18.0
15,2,32,2,
15,2,2,32,18.0
3,2,32,1,
3,2,1,32,18.0
19,164,32,2,
19,164,2,32,18.0
9,15,33,2,
9,15,2,33,19.0
12,8,34,2,
12,8,2,34,20.0
15,2,34,2,
15,2,2,34,20.0
3,2,34,2,
3,2,2,34,20.0
0,23,34,1,
0,23,1,34,20.0
6,32,35,2,
6,32,2,35,20.0
1,174,35,2,
1,174,2,35,20.0
2,2,36,2,
2,2,2,36,20.0
15,2,36,2,
15,2,2,36,20.0
1,174,37,2,
1,174,2,37,20.0
13,180,37,1,
13,180,1,37,20.0
3,23,38,2,
3,23,2,38,20.0
18,167,38,1,
18,167,1,38,20.0
1,174,38,1,
1,174,1,38,20.0
19,158,38,2,
19,158,2,38,20.0
15,3,43,2,
15,3,2,43,21.0
18,167,43,1,
18,167,1,43,21.0
2,2,44,1,
2,2,1,44,21.0
18,167,45,2,
18,167,2,45,21.0
15,3,45,2,
15,3,2,45,21.0
8,14,45,1,
8,14,1,45,21.0
1,174,46,2,
1,174,2,46,21.0
5,15,46,2,
5,15,2,46,21.0
2,2,47,2,
2,2,2,47,21.0
15,3,47,2,
15,3,2,47,21.0
9,160,48,2,
9,160,2,48,21.0
7,2,48,2,
7,2,2,48,21.0
13,167,48,2,
13,167,2,48,21.0
15,3,49,2,
15,3,2,49,21.0
5,165,49,2,
5,165,2,49,21.0
18,2,50,2,
18,2,2,50,21.0
9,8,51,2,
9,8,2,51,21.0
1,16,51,2,
1,16,2,51,21.0
8,171,52,2,
8,171,2,52,21.0
5,158,52,2,
5,158,2,52,21.0
18,3,53,2,
18,3,2,53,21.0
1,8,55,2,
1,8,2,55,22.0
2,2,55,1,
2,2,1,55,22.0
15,3,55,2,
15,3,2,55,22.0
8,172,58,2,
8,172,2,58,22.0
15,3,58,2,
15,3,2,58,22.0
18,166,59,1,
18,166,1,59,23.0
13,14,59,1,
13,14,1,59,23.0
2,1,59,2,
2,1,2,59,23.0
1,16,60,2,
1,16,2,60,23.0
8,173,60,2,
8,173,2,60,23.0
17,158,60,2,
17,158,2,60,23.0
5,158,61,2,
