wasp_id,cell_id,amt,time,bout_id
17,1,3,2,
17,1,2,3,2.0
6,166,3,1,
6,166,1,3,2.0
7,15,4,2,
7,15,2,4,2.0
11,8,5,2,
11,8,2,5,3.0
17,158,6,2,
17,158,2,6,3.0
2,164,6,2,
2,164,2,6,3.0
11,8,6,2,
11,8,2,6,3.0
16,2,7,2,
16,2,2,7,3.0
9,165,7,2,
9,165,2,7,3.0
14,14,7,2,
14,14,2,7,3.0
7,14,8,2,
7,14,2,8,4.0
17,164,9,2,
17,164,2,9,4.0
12,181,9,2,
12,181,2,9,4.0
11,181,10,1,
11,181,1,10,5.0
6,2,10,2,
6,2,2,10,5.0
17,14,11,2,
17,14,2,11,5.0
6,2,11,1,
6,2,1,11,5.0
9,171,12,2,
9,171,2,12,5.0
12,1,12,2,
12,1,2,12,5.0
17,181,23,1,
17,181,1,23,6.0
6,165,23,2,
6,165,2,23,7.0
14,15,24,2,
14,15,2,24,7.0
12,165,24,2,
12,165,2,24,7.0
2,22,25,2,
2,22,2,25,7.0
17,181,25,2,
17,181,2,25,8.0
14,173,26,2,
14,173,2,26,8.0
6,22,26,2,
6,22,2,26,8.0
10,2,27,2,
10,2,2,27,8.0
1,173,27,2,
1,173,2,27,8.0
6,22,28,2,
6,22,2,28,8.0
13,8,28,2,
13,8,2,28,8.0
12,166,29,2,
12,166,2,29,8.0
8,2,29,2,
8,2,2,29,8.0
12,15,31,2,
12,15,2,31,8.0
3,2,31,2,
3,2,2,31,8.0
5,2,31,2,
5,2,2,31,8.0
2,22,31,2,
2,22,2,31,8.0
1,15,31,2,
1,15,2,31,8.0
14,173,33,2,
14,173,2,33,8.0
1,8,40,2,
1,8,2,40,9.0
12,181,40,2,
12,181,2,40,9.0
9,14,41,2,
9,14,2,41,9.0
14,22,41,2,
14,22,2,41,10.0
12,181,42,2,
12,181,2,42,10.0
10,2,43,2,
10,2,2,43,10.0
1,7,43,2,
1,7,2,43,10.0
13,1,43,2,
13,1,2,43,10.0
17,181,44,2,
17,181,2,44,10.0
3,8,46,2,
3,8,2,46,10.0
1,14,50,2,
1,14,2,50,11.0
17,22,51,2,
17,22,2,51,11.0
12,181,52,1,
12,181,1,52,12.0
16,2,53,2,
16,2,2,53,12.0
17,22,53,2,
17,22,2,53,12.0
13,2,53,2,
13,2,2,53,12.0
10,2,53,2,
10,2,2,53,12.0
0,181,54,2,
0,181,2,54,12.0
14,22,54,2,
