giver,receiver,amt,time,bout_id
5,0,2,3,
5,0,2,3,1.0
5,6,2,3,
5,6,2,3,1.0
5,11,2,3,
5,11,2,3,1.0
5,26,2,3,
5,26,2,3,1.0
5,20,2,3,
5,20,2,3,1.0
5,16,2,3,
5,16,2,3,1.0
16,18,2,3,
16,18,2,3,1.0
20,10,2,3,
20,10,2,3,1.0
5,7,2,3,
5,7,2,3,2.0
5,17,2,3,
5,17,2,3,2.0
5,25,1,3,
5,25,1,3,2.0
21,4,2,4,
21,4,2,4,4.0
21,23,2,4,
21,23,2,4,4.0
21,24,1,5,
21,24,1,5,4.0
5,18,2,5,
5,18,2,5,5.0
5,26,2,5,
5,26,2,5,5.0
5,16,2,5,
5,16,2,5,5.0
5,25,2,5,
5,25,2,5,6.0
12,15,2,5,
12,15,2,5,6.0
5,6,2,5,
5,6,2,5,6.0
15,19,2,5,
15,19,2,5,6.0
16,11,2,5,
16,11,2,5,6.0
21,14,2,5,
21,14,2,5,6.0
21,7,2,6,
21,7,2,6,6.0
21,9,1,6,
21,9,1,6,6.0
12,20,2,6,
12,20,2,6,6.0
21,8,2,6,
21,8,2,6,7.0
21,13,2,6,
21,13,2,6,7.0
12,6,1,6,
12,6,1,6,7.0
20,0,2,6,
20,0,2,6,7.0
12,4,2,6,
12,4,2,6,8.0
21,20,2,7,
21,20,2,7,8.0
12,3,2,7,
12,3,2,7,8.0
12,16,2,7,
12,16,2,7,8.0
12,15,2,7,
12,15,2,7,8.0
15,14,2,7,
15,14,2,7,8.0
21,24,2,7,
21,24,2,7,8.0
12,23,2,7,
12,23,2,7,8.0
5,11,2,7,
5,11,2,7,9.0
12,7,2,8,
12,7,2,8,9.0
5,26,2,8,
5,26,2,8,9.0
5,25,1,8,
5,25,1,8,9.0
20,15,2,8,
20,15,2,8,9.0
15,19,2,8,
15,19,2,8,9.0
3,6,2,8,
3,6,2,8,9.0
12,8,2,8,
12,8,2,8,9.0
12,18,2,8,
12,18,2,8,9.0
12,0,2,9,
12,0,2,9,9.0
12,20,2,9,
12,20,2,9,9.0
21,4,2,9,
21,4,2,9,9.0
20,13,2,9,
20,13,2,9,9.0
12,3,2,9,
12,3,2,9,9.0
21,15,2,9,
21,15,2,9,10.0
12,17,2,9,
12,17,2,9,10.0
5,6,2,10,
5,6,2,10,10.0
12,25,1,10,
12,25,1,10,10.0
21,18,2,10,
21,18,2,10,10.0
5,6,1,10,
5,6,1,10,10.0
21,14,2,10,
21,14,2,10,10.0
21,24,2,10,
21,24,2,10,10.0
12,0,2,11,
12,0,2,11,11.0
12,20,2,12,
12,20,2,12,11.0
21,15,2,12,
21,15,2,12,11.0
15,9,2,12,
15,9,2,12,11.0
21,25,2,12,
21,25,2,12,11.0
12,23,2,12,
12,23,2,12,11.0
21,0,2,12,
21,0,2,12,11.0
21,3,2,12,
21,3,2,12,11.0
3,7,2,12,
3,7,2,12,11.0
21,4,2,12,
21,4,2,12,11.0
21,16,2,12,
21,16,2,12,11.0
16,8,2,12,
16,8,2,12,11.0
12,15,2,13,
12,15,2,13,11.0
15,17,2,13,
15,17,2,13,11.0
12,16,2,13,
12,16,2,13,13.0
16,3,2,13,
16,3,2,13,13.0
3,20,2,14,
3,20,2,14,13.0
5,7,2,14,
5,7,2,14,13.0
12,3,2,14,
12,3,2,14,13.0
21,18,2,14,
21,18,2,14,13.0
21,4,2,14,
21,4,2,14,13.0
20,14,2,14,
20,14,2,14,13.0
5,16,1,14,
5,16,1,14,13.0
12,7,2,15,
12,7,2,15,13.0
21,19,2,15,
21,19,2,15,13.0
12,25,2,15,
12,25,2,15,13.0
12,15,2,15,
12,15,2,15,13.0
21,17,2,15,
21,17,2,15,13.0
21,3,2,15,
21,3,2,15,13.0
15,13,2,15,
15,13,2,15,13.0
3,26,2,15,
3,26,2,15,13.0
5,20,2,15,
5,20,2,15,13.0
20,6,2,16,
20,6,2,16,13.0
12,25,2,16,
12,25,2,16,13.0
5,6,2,16,
5,6,2,16,13.0
12,4,2,16,
12,4,2,16,13.0
5,3,2,16,
5,3,2,16,13.0
5,15,2,16,
5,15,2,16,13.0
5,16,2,16,
5,16,2,16,13.0
3,0,2,16,
3,0,2,16,13.0
5,14,2,17,
5,14,2,17,13.0
15,23,2,17,
15,23,2,17,13.0
21,26,2,17,
21,26,2,17,14.0
16,15,2,17,
16,15,2,17,14.0
21,20,2,17,
21,20,2,17,14.0
21,16,2,17,
21,16,2,17,14.0
20,8,2,17,
20,8,2,17,14.0
16,13,2,17,
16,13,2,17,15.0
