wasp_id,cell_id,amt,time,bout_id
20,174,2,2,
20,174,2,2,2.0
11,174,2,2,
11,174,2,2,2.0
2,7,2,2,
2,7,2,2,2.0
23,2,3,2,
23,2,2,3,5.0
10,2,3,2,
10,2,2,3,5.0
6,0,3,2,
6,0,2,3,5.0
19,173,3,2,
19,173,2,3,5.0
8,32,3,2,
8,32,2,3,5.0
21,3,4,2,
21,3,2,4,6.0
2,15,4,1,
2,15,1,4,6.0
11,174,4,2,
11,174,2,4,6.0
20,16,4,2,
20,16,2,4,6.0
3,1,4,2,
3,1,2,4,6.0
4,172,4,2,
4,172,2,4,6.0
16,167,5,2,
16,167,2,5,6.0
23,2,5,2,
23,2,2,5,6.0
24,23,5,2,
24,23,2,5,6.0
18,2,5,2,
18,2,2,5,6.0
23,2,6,2,
23,2,2,6,7.0
9,0,6,1,
9,0,1,6,7.0
4,181,6,2,
4,181,2,6,7.0
10,160,6,2,
10,160,2,6,7.0
25,180,6,2,
25,180,2,6,7.0
11,174,6,2,
11,174,2,6,7.0
1,189,6,2,
1,189,2,6,7.0
20,166,7,2,
20,166,2,7,7.0
0,160,7,2,
0,160,2,7,7.0
19,14,7,2,
19,14,2,7,7.0
2,173,7,2,
2,173,2,7,7.0
3,1,8,2,
3,1,2,8,8.0
23,2,8,2,
23,2,2,8,8.0
2,15,8,2,
2,15,2,8,8.0
10,3,8,2,
10,3,2,8,8.0
18,2,9,2,
18,2,2,9,9.0
24,173,10,2,
24,173,2,10,9.0
10,2,10,1,
10,2,1,10,9.0
16,2,10,1,
16,2,1,10,9.0
18,2,11,2,
18,2,2,11,9.0
3,14,12,2,
3,14,2,12,10.0
10,7,12,1,
10,7,1,12,10.0
24,15,12,1,
24,15,1,12,11.0
5,160,13,2,
5,160,2,13,11.0
2,23,13,2,
2,23,2,13,11.0
23,167,13,2,
23,167,2,13,11.0
18,2,14,1,
18,2,1,14,11.0
0,2,15,2,
0,2,2,15,12.0
24,14,15,2,
24,14,2,15,12.0
10,173,16,2,
10,173,2,16,12.0
20,7,16,2,
20,7,2,16,12.0
3,6,16,2,
3,6,2,16,12.0
23,1,18,2,
23,1,2,18,13.0
24,164,18,2,
24,164,2,18,14.0
25,172,18,2,
25,172,2,18,14.0
0,2,19,1,
0,2,1,19,14.0
20,173,19,1,
20,173,1,19,14.0
19,319,19,2,
19,319,2,19,14.0
5,14,20,2,
5,14,2,20,14.0
18,160,20,2,
18,160,2,20,14.0
10,174,21,2,
10,174,2,21,14.0
23,158,21,2,
23,158,2,21,14.0
25,7,21,1,
25,7,1,21,14.0
2,174,22,1,
2,174,1,22,14.0
18,3,22,2,
18,3,2,22,14.0
7,181,22,1,
7,181,1,22,14.0
0,167,23,1,
0,167,1,23,14.0
10,23,23,2,
10,23,2,23,14.0
25,14,23,2,
25,14,2,23,14.0
18,3,24,2,
18,3,2,24,14.0
1,174,25,2,
1,174,2,25,14.0
6,158,25,2,
6,158,2,25,14.0
24,14,26,2,
24,14,2,26,14.0
18,3,26,2,
18,3,2,26,14.0
1,174,27,2,
1,174,2,27,15.0
2,16,27,2,
2,16,2,27,15.0
3,165,27,1,
3,165,1,27,15.0
5,8,28,2,
5,8,2,28,15.0
6,2,28,2,
6,2,2,28,16.0
1,166,29,2,
1,166,2,29,16.0
2,167,29,2,
2,167,2,29,16.0
9,158,29,2,
9,158,2,29,16.0
25,180,30,2,
25,180,2,30,16.0
2,16,30,2,
2,16,2,30,16.0
9,158,31,2,
9,158,2,31,16.0
24,2,31,2,
24,2,2,31,16.0
0,174,31,2,
0,174,2,31,16.0
3,16,31,2,
3,16,2,31,16.0
18,3,31,2,
18,3,2,31,16.0
23,158,31,2,
23,158,2,31,16.0
16,8,32,2,
16,8,2,32,16.0
6,1,32,2,
6,1,2,32,16.0
1,2,33,2,
1,2,2,33,17.0
24,2,33,1,
24,2,1,33,17.0
2,167,33,1,
2,167,1,33,17.0
9,164,34,2,
9,164,2,34,17.0
6,6,34,2,
6,6,2,34,17.0
2,167,35,2,
2,167,2,35,18.0
24,2,35,2,
24,2,2,35,18.0
18,3,36,2,
18,3,2,36,18.0
9,172,37,2,
9,172,2,37,19.0
2,167,37,2,
2,167,2,37,20.0
3,174,37,1,
3,174,1,37,20.0
1,160,37,2,
1,160,2,37,20.0
24,2,37,1,
24,2,1,37,20.0
6,15,38,2,
6,15,2,38,20.0
12,160,39,2,
12,160,2,39,20.0
24,2,39,2,
24,2,2,39,20.0
21,160,39,2,
21,160,2,39,20.0
9,22,39,2,
9,22,2,39,20.0
0,160,39,2,
0,160,2,39,20.0
6,23,39,2,
6,23,2,39,20.0
23,158,39,2,
23,158,2,39,20.0
16,166,39,2,
16,166,2,39,20.0
20,174,39,2,
20,174,2,39,20.0
1,3,40,2,
1,3,2,40,20.0
2,167,40,2,
2,167,2,40,20.0
21,3,41,2,
21,3,2,41,21.0
24,2,41,2,
24,2,2,41,21.0
3,32,41,2,
3,32,2,41,21.0
23,159,41,2,
23,159,2,41,21.0
2,167,42,2,
2,167,2,42,21.0
23,7,42,2,
23,7,2,42,21.0
9,32,42,1,
9,32,1,42,21.0
24,2,43,2,
24,2,2,43,21.0
1,2,43,2,
1,2,2,43,21.0
20,23,44,2,
20,23,2,44,21.0
16,160,44,1,
16,160,1,44,21.0
23,173,44,2,
23,173,2,44,21.0
2,167,45,2,
2,167,2,45,21.0
13,8,45,2,
13,8,2,45,21.0
17,3,45,1,
17,3,1,45,21.0
15,1,45,2,
