cell_id,x,y,feeds,last_fed,hunger
0,7.758,8.167,0,-1,0
158,7.666,8.229,0,-1,0
164,7.696,7.886,0,-1,0
159,8.049,8.141,0,-1,0
6,7.913,7.858,0,-1,0
1,8.149,8.167,0,-1,0
165,8.166,7.808,0,-1,0
172,7.853,7.533,0,-1,0
171,7.411,7.612,0,-1,0
13,7.563,7.539,0,-1,0
7,8.324,7.755,0,-1,0
14,7.964,7.477,0,-1,0
2,8.674,8.105,0,-1,0
173,8.245,7.318,0,-1,0
166,8.588,7.612,0,-1,0
180,7.49,7.19,0,-1,0
15,8.396,7.364,0,-1,0
22,7.666,7.107,0,-1,0
8,8.746,7.632,0,-1,0
181,7.911,7.004,0,-1,0
