wasp_id,cell_id,amt,time,bout_id
2,2,8,2,
2,2,2,8,1.0
6,1,8,2,
6,1,2,8,1.0
12,1,8,2,
12,1,2,8,2.0
8,173,8,2,
8,173,2,8,2.0
4,159,9,2,
4,159,2,9,2.0
3,2,9,1,
3,2,1,9,2.0
0,173,10,2,
0,173,2,10,2.0
2,2,10,2,
2,2,2,10,2.0
13,159,10,2,
13,159,2,10,2.0
13,165,14,2,
13,165,2,14,4.0
2,2,14,2,
2,2,2,14,4.0
4,165,14,2,
4,165,2,14,4.0
0,14,14,2,
0,14,2,14,4.0
8,15,15,2,
8,15,2,15,4.0
11,7,16,2,
11,7,2,16,5.0
8,15,17,1,
8,15,1,17,6.0
2,2,17,2,
2,2,2,17,6.0
0,13,17,2,
0,13,2,17,6.0
4,171,17,1,
4,171,1,17,6.0
13,15,18,2,
13,15,2,18,6.0
11,14,18,2,
11,14,2,18,6.0
0,171,18,2,
0,171,2,18,6.0
13,15,19,2,
13,15,2,19,6.0
8,7,19,2,
8,7,2,19,6.0
8,2,21,2,
8,2,2,21,7.0
0,13,21,2,
0,13,2,21,7.0
1,180,22,2,
1,180,2,22,8.0
4,171,22,2,
4,171,2,22,8.0
13,15,22,2,
13,15,2,22,8.0
11,13,23,2,
11,13,2,23,8.0
0,2,24,2,
0,2,2,24,8.0
4,171,24,2,
4,171,2,24,8.0
2,2,25,2,
2,2,2,25,8.0
2,2,26,2,
2,2,2,26,8.0
1,14,30,2,
1,14,2,30,9.0
6,2,30,2,
6,2,2,30,9.0
13,15,30,2,
13,15,2,30,9.0
8,8,31,2,
8,8,2,31,9.0
1,22,31,2,
1,22,2,31,9.0
4,8,31,2,
4,8,2,31,9.0
0,2,31,2,
0,2,2,31,9.0
2,2,31,2,
2,2,2,31,9.0
9,2,32,2,
9,2,2,32,10.0
2,2,33,2,
2,2,2,33,10.0
0,2,33,2,
0,2,2,33,10.0
8,8,33,2,
8,8,2,33,10.0
2,2,34,2,
2,2,2,34,10.0
8,8,35,2,
8,8,2,35,11.0
0,2,36,2,
0,2,2,36,11.0
4,2,36,2,
4,2,2,36,11.0
2,2,37,2,
2,2,2,37,11.0
3,1,38,2,
3,1,2,38,11.0
8,8,38,2,
8,8,2,38,11.0
2,2,39,2,
2,2,2,39,11.0
4,2,39,2,
4,2,2,39,12.0
0,2,39,2,
0,2,2,39,12.0
3,159,40,2,
3,159,2,40,12.0
2,2,41,2,
2,2,2,41,12.0
4,2,41,1,
4,2,1,41,12.0
0,2,42,2,
0,2,2,42,12.0
8,15,42,2,
8,15,2,42,12.0
2,2,42,2,
2,2,2,42,12.0
12,158,43,2,
12,158,2,43,12.0
0,166,44,1,
0,166,1,44,12.0
13,22,44,2,
13,22,2,44,12.0
12,158,45,2,
12,158,2,45,12.0
8,8,45,2,
8,8,2,45,13.0
4,2,45,2,
4,2,2,45,13.0
0,8,46,1,
0,8,1,46,13.0
0,8,47,1,
0,8,1,47,13.0
8,8,47,2,
8,8,2,47,13.0
2,1,48,2,
2,1,2,48,13.0
4,2,48,1,
4,2,1,48,13.0
2,6,57,2,
2,6,2,57,13.0
0,15,57,2,
0,15,2,57,13.0
8,6,57,2,
8,6,2,57,13.0
12,173,58,2,
12,173,2,58,14.0
4,2,58,2,
4,2,2,58,14.0
4,2,59,2,
4,2,2,59,14.0
11,171,59,2,
11,171,2,59,14.0
0,15,59,2,
0,15,2,59,14.0
2,7,60,2,
2,7,2,60,14.0
12,166,62,1,
12,166,1,62,15.0
4,2,62,2,
4,2,2,62,15.0
11,13,62,2,
11,13,2,62,15.0
0,7,62,2,
0,7,2,62,15.0
12,2,63,1,
12,2,1,63,15.0
0,2,64,2,
0,2,2,64,15.0
8,8,73,2,
8,8,2,73,15.0
12,2,74,2,
12,2,2,74,15.0
6,2,75,2,
6,2,2,75,16.0
4,2,75,2,
4,2,2,75,16.0
12,2,75,2,
12,2,2,75,16.0
8,15,76,2,
8,15,2,76,16.0
4,1,76,2,
4,1,2,76,16.0
0,2,76,2,
0,2,2,76,16.0
12,2,77,2,
12,2,2,77,16.0
2,181,78,2,
2,181,2,78,16.0
12,2,79,2,
12,2,2,79,17.0
4,158,79,2,
4,158,2,79,17.0
0,2,79,2,
0,2,2,79,17.0
2,181,81,2,
2,181,2,81,18.0
11,158,81,2,
11,158,2,81,18.0
5,15,81,2,
5,15,2,81,18.0
0,2,81,2,
0,2,2,81,18.0
8,15,81,2,
8,15,2,81,18.0
4,159,82,2,
4,159,2,82,18.0
3,2,82,2,
3,2,2,82,18.0
12,164,84,2,
12,164,2,84,18.0
4,165,84,2,
4,165,2,84,18.0
0,2,85,2,
0,2,2,85,18.0
8,15,86,2,
8,15,2,86,18.0
11,1,86,2,
11,1,2,86,18.0
12,164,86,2,
12,164,2,86,19.0
9,15,87,2,
9,15,2,87,19.0
0,2,87,2,
0,2,2,87,19.0
8,7,88,2,
8,7,2,88,19.0
11,1,88,2,
11,1,2,88,19.0
12,159,88,2,
12,159,2,88,19.0
4,165,89,2,
4,165,2,89,19.0
12,2,89,2,
12,2,2,89,19.0
0,2,89,2,
0,2,2,89,19.0
5,2,90,2,
5,2,2,90,19.0
4,1,91,2,
4,1,2,91,19.0
11,1,91,1,
11,1,1,91,19.0
8,1,93,2,
8,1,2,93,19.0
6,2,93,2,
6,2,2,93,19.0
2,15,93,2,
2,15,2,93,19.0
3,8,94,2,
3,8,2,94,19.0
2,15,94,2,
2,15,2,94,19.0
11,1,94,2,
11,1,2,94,19.0
0,181,94,2,
0,181,2,94,19.0
8,0,95,2,
8,0,2,95,19.0
0,22,95,2,
0,22,2,95,19.0
8,172,99,1,
8,172,1,99,19.0
2,15,99,2,
2,15,2,99,19.0
12,8,99,2,
12,8,2,99,20.0
4,158,100,1,
4,158,1,100,20.0
5,8,100,2,
5,8,2,100,20.0
0,172,101,2,
0,172,2,101,21.0
12,1,102,2,
12,1,2,102,21.0
2,166,102,1,
2,166,1,102,21.0
4,171,103,2,
4,171,2,103,21.0
8,181,104,1,
8,181,1,104,21.0
2,8,111,2,
2,8,2,111,22.0
9,2,111,2,
9,2,2,111,22.0
11,158,113,2,
11,158,2,113,22.0
6,2,113,2,
6,2,2,113,22.0
3,2,113,2,
3,2,2,113,22.0
8,181,113,2,
8,181,2,113,23.0
5,2,114,2,
5,2,2,114,23.0
2,2,114,2,
2,2,2,114,23.0
2,1,115,2,
2,1,2,115,23.0
3,8,115,2,
3,8,2,115,23.0
7,13,117,2,
7,13,2,117,24.0
4,172,117,2,
4,172,2,117,24.0
0,2,118,2,
0,2,2,118,24.0
2,158,118,2,
2,158,2,118,24.0
11,158,118,2,
11,158,2,118,24.0
7,164,119,2,
7,164,2,119,24.0
0,7,120,2,
0,7,2,120,24.0
6,1,120,2,
6,1,2,120,24.0
11,7,121,2,
11,7,2,121,24.0
3,2,121,2,
3,2,2,121,24.0
4,1,121,2,
4,1,2,121,24.0
2,1,122,2,
2,1,2,122,24.0
0,14,123,1,
0,14,1,123,24.0
7,171,123,2,
7,171,2,123,24.0
11,1,123,2,
11,1,2,123,24.0
5,2,124,2,
5,2,2,124,24.0
11,0,125,2,
11,0,2,125,24.0
3,2,125,2,
3,2,2,125,24.0
2,158,126,2,
2,158,2,126,24.0
9,2,127,2,
9,2,2,127,24.0
4,181,127,2,
4,181,2,127,24.0
3,2,127,2,
3,2,2,127,24.0
2,158,128,2,
2,158,2,128,24.0
5,2,128,2,
5,2,2,128,24.0
11,164,129,2,
11,164,2,129,25.0
9,2,130,2,
9,2,2,130,25.0
6,2,130,2,
6,2,2,130,25.0
3,8,131,2,
3,8,2,131,25.0
9,2,131,1,
9,2,1,131,25.0
4,181,132,2,
4,181,2,132,25.0
3,2,137,2,
3,2,2,137,26.0
9,15,137,2,
9,15,2,137,26.0
11,173,137,2,
11,173,2,137,26.0
5,2,138,2,
5,2,2,138,26.0
11,15,139,2,
11,15,2,139,26.0
1,181,139,2,
1,181,2,139,26.0
11,159,151,2,
11,159,2,151,27.0
3,1,152,2,
3,1,2,152,27.0
6,2,152,2,
6,2,2,152,27.0
1,171,153,2,
1,171,2,153,28.0
5,8,155,2,
5,8,2,155,28.0
11,180,155,2,
11,180,2,155,28.0
3,6,155,2,
3,6,2,155,28.0
1,180,156,2,
1,180,2,156,28.0
11,180,159,2,
11,180,2,159,28.0
4,15,166,2,
4,15,2,166,28.0
11,13,167,2,
11,13,2,167,28.0
1,22,167,2,
1,22,2,167,28.0
4,15,168,2,
4,15,2,168,28.0
2,181,169,2,
2,181,2,169,29.0
6,7,170,2,
6,7,2,170,29.0
4,15,170,2,
4,15,2,170,29.0
1,22,170,1,
1,22,1,170,29.0
3,2,171,2,
3,2,2,171,29.0
3,2,173,2,
3,2,2,173,29.0
1,22,174,1,
1,22,1,174,29.0
4,0,175,2,
4,0,2,175,29.0
4,164,176,1,
4,164,1,176,29.0
2,173,179,2,
2,173,2,179,29.0
2,7,180,2,
2,7,2,180,29.0
4,171,181,1,
4,171,1,181,29.0
5,2,181,2,
5,2,2,181,29.0
11,171,182,2,
11,171,2,182,29.0
2,2,183,2,
2,2,2,183,29.0
1,180,183,2,
1,180,2,183,29.0
4,171,183,2,
4,171,2,183,29.0
2,2,188,2,
2,2,2,188,29.0
6,1,188,2,
6,1,2,188,29.0
9,2,188,2,
9,2,2,188,29.0
1,164,188,2,
1,164,2,188,29.0
5,2,190,2,
5,2,2,190,29.0
6,0,191,2,
6,0,2,191,29.0
1,171,191,2,
1,171,2,191,29.0
11,171,191,2,
11,171,2,191,29.0
2,165,191,2,
2,165,2,191,29.0
4,171,192,2,
4,171,2,192,29.0
2,1,193,1,
2,1,1,193,29.0
3,2,194,2,
3,2,2,194,29.0
4,171,194,2,
4,171,2,194,29.0
1,181,194,2,
1,181,2,194,29.0
1,22,196,2,
1,22,2,196,29.0
2,171,196,2,
2,171,2,196,29.0
3,8,197,2,
3,8,2,197,29.0
4,180,198,2,
4,180,2,198,29.0
11,180,198,2,
11,180,2,198,29.0
2,171,199,2,
2,171,2,199,29.0
5,2,202,2,
5,2,2,202,30.0
4,173,202,2,
4,173,2,202,30.0
11,173,205,1,
11,173,1,205,30.0
11,166,212,2,
11,166,2,212,30.0
4,158,212,2,
4,158,2,212,30.0
2,0,213,2,
2,0,2,213,30.0
11,166,214,2,
11,166,2,214,30.0
4,164,215,2,
4,164,2,215,30.0
11,8,219,2,
11,8,2,219,31.0
5,2,219,1,
5,2,1,219,31.0
4,6,220,2,
4,6,2,220,31.0
4,159,221,2,
4,159,2,221,31.0
2,158,222,2,
2,158,2,222,31.0
4,7,223,2,
4,7,2,223,32.0
9,2,224,2,
9,2,2,224,32.0
11,14,224,2,
11,14,2,224,32.0
2,164,225,2,
2,164,2,225,32.0
3,2,226,2,
3,2,2,226,32.0
4,181,226,2,
4,181,2,226,32.0
4,181,228,2,
4,181,2,228,32.0
11,180,228,2,
11,180,2,228,32.0
2,13,229,2,
2,13,2,229,32.0
3,7,229,2,
3,7,2,229,32.0
8,158,231,2,
8,158,2,231,32.0
2,6,231,2,
2,6,2,231,32.0
0,158,233,2,
0,158,2,233,32.0
6,2,233,1,
6,2,1,233,32.0
8,158,233,2,
8,158,2,233,32.0
5,2,234,2,
5,2,2,234,32.0
11,180,234,2,
11,180,2,234,32.0
2,1,234,2,
2,1,2,234,32.0
2,1,236,2,
2,1,2,236,32.0
8,158,236,2,
8,158,2,236,32.0
2,1,240,2,
2,1,2,240,32.0
11,181,240,2,
11,181,2,240,32.0
9,2,240,2,
9,2,2,240,32.0
8,158,241,2,
8,158,2,241,32.0
6,2,242,2,
6,2,2,242,33.0
3,2,242,2,
3,2,2,242,33.0
2,1,242,2,
2,1,2,242,33.0
8,164,243,2,
8,164,2,243,33.0
6,2,244,2,
6,2,2,244,33.0
8,181,246,2,
8,181,2,246,33.0
3,2,253,2,
3,2,2,253,34.0
6,1,255,1,
6,1,1,255,35.0
9,2,255,2,
9,2,2,255,35.0
3,2,255,2,
3,2,2,255,35.0
5,2,256,2,
5,2,2,256,35.0
3,2,257,2,
3,2,2,257,35.0
0,171,258,2,
0,171,2,258,35.0
3,15,261,2,
3,15,2,261,35.0
8,7,262,2,
8,7,2,262,35.0
0,13,262,1,
0,13,1,262,35.0
8,2,263,2,
8,2,2,263,35.0
3,166,264,2,
3,166,2,264,35.0
9,2,264,1,
9,2,1,264,35.0
6,2,265,2,
6,2,2,265,35.0
0,180,265,2,
0,180,2,265,35.0
8,2,265,2,
8,2,2,265,36.0
8,2,267,1,
8,2,1,267,36.0
9,2,268,2,
9,2,2,268,36.0
0,180,268,2,
0,180,2,268,36.0
3,8,269,2,
3,8,2,269,36.0
8,2,269,2,
8,2,2,269,36.0
13,22,270,2,
13,22,2,270,36.0
9,2,270,2,
9,2,2,270,36.0
8,2,272,2,
8,2,2,272,36.0
6,2,272,2,
6,2,2,272,36.0
13,13,273,2,
13,13,2,273,36.0
0,0,275,1,
0,0,1,275,36.0
