giver,receiver,amt,time,bout_id
49,6,2,3,
49,6,2,3,1.0
49,36,2,3,
49,36,2,3,1.0
6,60,2,3,
6,60,2,3,1.0
36,30,2,3,
36,30,2,3,1.0
30,56,2,3,
30,56,2,3,1.0
49,62,2,3,
49,62,2,3,1.0
62,65,2,3,
62,65,2,3,1.0
49,58,2,3,
49,58,2,3,1.0
49,29,2,3,
49,29,2,3,1.0
29,19,2,3,
29,19,2,3,1.0
19,34,2,3,
19,34,2,3,1.0
34,5,2,3,
34,5,2,3,1.0
23,62,2,4,
23,62,2,4,2.0
62,29,2,4,
62,29,2,4,2.0
29,16,2,4,
29,16,2,4,2.0
23,40,2,4,
23,40,2,4,2.0
16,59,2,4,
16,59,2,4,2.0
23,54,2,4,
23,54,2,4,2.0
23,19,2,4,
23,19,2,4,2.0
19,71,2,4,
19,71,2,4,2.0
23,38,2,4,
23,38,2,4,2.0
49,60,2,5,
49,60,2,5,3.0
49,34,2,5,
49,34,2,5,3.0
51,44,2,5,
51,44,2,5,4.0
44,15,2,5,
44,15,2,5,4.0
51,35,2,5,
51,35,2,5,4.0
23,19,2,5,
23,19,2,5,4.0
49,0,2,5,
49,0,2,5,4.0
35,56,2,5,
35,56,2,5,4.0
34,41,2,5,
34,41,2,5,4.0
49,5,2,5,
49,5,2,5,4.0
51,6,2,5,
51,6,2,5,4.0
23,10,2,5,
23,10,2,5,5.0
51,57,2,5,
51,57,2,5,5.0
23,47,2,5,
23,47,2,5,5.0
23,2,2,5,
23,2,2,5,5.0
49,16,2,5,
49,16,2,5,5.0
6,62,2,5,
6,62,2,5,5.0
49,65,2,5,
49,65,2,5,5.0
2,30,2,5,
2,30,2,5,5.0
62,6,2,6,
62,6,2,6,5.0
51,50,2,6,
51,50,2,6,6.0
19,35,2,6,
19,35,2,6,7.0
30,40,2,6,
30,40,2,6,7.0
6,66,2,6,
6,66,2,6,7.0
51,2,2,6,
51,2,2,6,7.0
2,30,2,6,
2,30,2,6,7.0
35,29,2,6,
35,29,2,6,7.0
23,6,2,7,
23,6,2,7,7.0
29,32,2,7,
29,32,2,7,7.0
49,19,2,7,
49,19,2,7,7.0
6,41,2,7,
6,41,2,7,7.0
19,35,2,7,
19,35,2,7,7.0
49,29,2,7,
49,29,2,7,7.0
23,16,2,7,
23,16,2,7,7.0
51,41,1,7,
51,41,1,7,7.0
16,27,2,7,
16,27,2,7,7.0
59,33,2,7,
59,33,2,7,7.0
29,12,2,7,
29,12,2,7,7.0
35,58,2,7,
35,58,2,7,7.0
49,66,2,7,
49,66,2,7,7.0
49,54,2,7,
49,54,2,7,7.0
49,57,2,7,
49,57,2,7,7.0
57,74,2,7,
57,74,2,7,7.0
9,36,2,7,
9,36,2,7,8.0
9,34,2,7,
9,34,2,7,8.0
36,44,2,7,
36,44,2,7,8.0
44,69,2,7,
44,69,2,7,8.0
9,62,2,8,
9,62,2,8,8.0
9,36,2,8,
9,36,2,8,8.0
62,14,2,8,
62,14,2,8,8.0
23,68,2,8,
23,68,2,8,9.0
68,2,2,8,
68,2,2,8,9.0
36,44,2,8,
36,44,2,8,9.0
44,7,2,8,
44,7,2,8,10.0
2,40,2,8,
2,40,2,8,11.0
9,58,2,9,
9,58,2,9,11.0
23,68,2,9,
23,68,2,9,11.0
9,36,2,9,
9,36,2,9,11.0
36,34,2,9,
36,34,2,9,11.0
9,62,2,9,
9,62,2,9,11.0
9,2,2,9,
9,2,2,9,11.0
23,22,2,9,
23,22,2,9,11.0
9,2,2,9,
9,2,2,9,11.0
62,0,2,9,
62,0,2,9,11.0
34,16,2,9,
34,16,2,9,11.0
16,61,2,9,
16,61,2,9,11.0
2,56,2,9,
2,56,2,9,11.0
49,64,2,9,
49,64,2,9,11.0
49,74,2,9,
49,74,2,9,11.0
23,59,2,9,
23,59,2,9,11.0
64,66,2,9,
64,66,2,9,11.0
68,71,2,9,
68,71,2,9,11.0
49,54,2,10,
49,54,2,10,11.0
59,29,2,10,
59,29,2,10,11.0
2,59,2,10,
2,59,2,10,11.0
49,30,2,10,
49,30,2,10,11.0
59,16,2,10,
59,16,2,10,11.0
49,32,2,10,
49,32,2,10,11.0
30,2,2,10,
30,2,2,10,11.0
29,68,2,10,
29,68,2,10,11.0
16,64,2,10,
16,64,2,10,11.0
64,36,2,10,
64,36,2,10,11.0
68,65,2,10,
68,65,2,10,11.0
36,14,2,10,
36,14,2,10,11.0
49,35,2,10,
49,35,2,10,11.0
35,12,2,10,
35,12,2,10,11.0
23,29,2,10,
23,29,2,10,11.0
49,68,2,11,
49,68,2,11,11.0
2,36,2,11,
2,36,2,11,11.0
68,35,2,11,
68,35,2,11,11.0
35,34,2,11,
35,34,2,11,11.0
34,41,2,11,
34,41,2,11,11.0
49,66,1,11,
49,66,1,11,11.0
36,57,2,11,
36,57,2,11,11.0
57,40,2,11,
57,40,2,11,11.0
45,3,2,11,
45,3,2,11,11.0
29,30,2,11,
29,30,2,11,11.0
