giver,receiver,amt,time,bout_id
48,21,2,1,
48,21,2,1,1.0
21,47,2,1,
21,47,2,1,1.0
48,60,2,1,
48,60,2,1,1.0
48,4,2,2,
48,4,2,2,1.0
48,36,2,2,
48,36,2,2,1.0
48,30,2,2,
48,30,2,2,1.0
48,59,2,2,
48,59,2,2,2.0
59,41,2,2,
59,41,2,2,2.0
48,22,2,2,
48,22,2,2,2.0
22,18,2,2,
22,18,2,2,2.0
1,52,2,2,
1,52,2,2,2.0
1,65,1,2,
1,65,1,2,2.0
52,45,2,2,
52,45,2,2,2.0
48,9,2,2,
48,9,2,2,2.0
9,54,2,2,
9,54,2,2,2.0
41,2,2,2,
41,2,2,2,2.0
48,32,2,2,
48,32,2,2,2.0
32,20,2,2,
32,20,2,2,2.0
48,42,2,2,
48,42,2,2,2.0
20,21,2,2,
20,21,2,2,2.0
2,0,2,2,
2,0,2,2,2.0
21,44,2,2,
21,44,2,2,2.0
42,64,2,2,
42,64,2,2,2.0
64,43,2,2,
64,43,2,2,2.0
48,13,2,3,
48,13,2,3,2.0
1,60,2,3,
1,60,2,3,3.0
60,20,2,3,
60,20,2,3,3.0
48,21,2,3,
48,21,2,3,3.0
20,42,2,3,
20,42,2,3,3.0
21,35,2,3,
21,35,2,3,3.0
48,50,2,3,
48,50,2,3,3.0
1,22,2,3,
1,22,2,3,3.0
1,38,1,4,
1,38,1,4,3.0
22,10,2,4,
22,10,2,4,3.0
48,40,2,4,
48,40,2,4,4.0
48,20,2,4,
48,20,2,4,4.0
20,56,2,4,
20,56,2,4,4.0
48,22,1,4,
48,22,1,4,4.0
46,4,2,4,
46,4,2,4,5.0
22,2,1,4,
22,2,1,4,5.0
46,52,2,4,
46,52,2,4,5.0
52,59,2,4,
52,59,2,4,5.0
2,41,1,4,
2,41,1,4,5.0
41,65,1,5,
41,65,1,5,6.0
48,41,2,5,
48,41,2,5,6.0
48,5,2,5,
48,5,2,5,6.0
41,32,2,5,
41,32,2,5,6.0
46,0,1,5,
46,0,1,5,6.0
48,29,1,5,
48,29,1,5,6.0
32,30,2,5,
32,30,2,5,6.0
15,50,2,6,
15,50,2,6,7.0
15,32,1,6,
15,32,1,6,7.0
32,41,1,6,
32,41,1,6,7.0
41,21,1,6,
41,21,1,6,7.0
21,59,1,6,
21,59,1,6,7.0
59,64,1,6,
59,64,1,6,7.0
64,52,1,6,
64,52,1,6,7.0
52,19,1,6,
52,19,1,6,7.0
48,38,2,6,
48,38,2,6,8.0
48,60,1,7,
48,60,1,7,9.0
46,30,2,7,
46,30,2,7,9.0
60,9,1,7,
60,9,1,7,9.0
46,21,2,7,
46,21,2,7,9.0
46,41,2,7,
46,41,2,7,10.0
48,29,2,7,
48,29,2,7,10.0
21,26,2,7,
21,26,2,7,11.0
9,65,1,7,
9,65,1,7,11.0
46,22,2,7,
46,22,2,7,11.0
22,20,2,7,
22,20,2,7,11.0
20,32,2,7,
20,32,2,7,11.0
48,31,1,7,
48,31,1,7,11.0
15,2,2,7,
15,2,2,7,11.0
2,59,2,7,
2,59,2,7,11.0
15,64,1,7,
15,64,1,7,11.0
59,56,2,7,
59,56,2,7,11.0
64,52,1,7,
64,52,1,7,11.0
32,42,2,8,
32,42,2,8,11.0
52,40,1,8,
52,40,1,8,11.0
42,60,2,8,
42,60,2,8,11.0
15,50,2,8,
15,50,2,8,11.0
15,20,2,8,
15,20,2,8,11.0
15,64,2,8,
15,64,2,8,11.0
20,52,2,8,
20,52,2,8,11.0
15,22,2,8,
15,22,2,8,11.0
52,41,2,8,
52,41,2,8,11.0
15,21,2,8,
15,21,2,8,11.0
60,38,2,8,
60,38,2,8,11.0
64,2,2,8,
64,2,2,8,11.0
41,6,2,8,
41,6,2,8,11.0
2,9,2,8,
2,9,2,8,11.0
21,59,2,8,
21,59,2,8,11.0
59,55,2,8,
59,55,2,8,12.0
9,5,2,8,
9,5,2,8,12.0
48,32,2,8,
48,32,2,8,12.0
48,13,1,8,
48,13,1,8,12.0
46,59,2,9,
46,59,2,9,12.0
22,20,2,9,
22,20,2,9,12.0
59,54,2,9,
59,54,2,9,12.0
32,36,2,9,
32,36,2,9,12.0
20,10,2,9,
20,10,2,9,12.0
15,42,2,9,
15,42,2,9,12.0
42,53,2,9,
42,53,2,9,12.0
15,26,2,9,
15,26,2,9,12.0
15,32,2,9,
15,32,2,9,12.0
32,19,2,9,
32,19,2,9,12.0
15,60,2,9,
15,60,2,9,12.0
46,59,2,9,
46,59,2,9,12.0
46,2,2,9,
46,2,2,9,12.0
60,52,2,9,
60,52,2,9,12.0
2,21,2,9,
2,21,2,9,12.0
52,64,2,9,
52,64,2,9,12.0
64,3,2,9,
64,3,2,9,12.0
59,35,2,10,
59,35,2,10,12.0
48,13,2,10,
48,13,2,10,12.0
15,42,2,10,
15,42,2,10,12.0
46,20,2,10,
46,20,2,10,12.0
48,59,2,10,
48,59,2,10,12.0
59,2,2,10,
59,2,2,10,12.0
48,9,2,10,
48,9,2,10,12.0
20,6,2,10,
20,6,2,10,12.0
46,60,2,10,
46,60,2,10,13.0
9,30,2,10,
9,30,2,10,13.0
15,22,2,10,
15,22,2,10,13.0
2,65,2,10,
2,65,2,10,14.0
15,2,2,11,
15,2,2,11,14.0
22,41,2,11,
22,41,2,11,14.0
15,0,2,11,
15,0,2,11,14.0
15,50,1,11,
15,50,1,11,14.0
60,38,2,11,
60,38,2,11,14.0
2,22,2,11,
2,22,2,11,14.0
41,60,2,11,
41,60,2,11,14.0
22,21,2,11,
22,21,2,11,14.0
48,2,2,11,
48,2,2,11,14.0
46,9,2,11,
46,9,2,11,14.0
60,59,2,11,
60,59,2,11,14.0
59,53,2,11,
59,53,2,11,14.0
46,30,2,11,
46,30,2,11,14.0
42,13,2,11,
42,13,2,11,14.0
9,20,2,11,
9,20,2,11,14.0
21,42,2,11,
21,42,2,11,14.0
46,41,2,12,
46,41,2,12,14.0
41,65,2,12,
41,65,2,12,14.0
20,52,2,12,
20,52,2,12,14.0
42,64,2,12,
42,64,2,12,14.0
46,59,2,12,
46,59,2,12,14.0
59,17,2,12,
59,17,2,12,14.0
48,26,2,12,
48,26,2,12,14.0
15,32,2,12,
15,32,2,12,14.0
46,22,2,12,
46,22,2,12,14.0
64,9,2,12,
64,9,2,12,14.0
22,21,2,12,
22,21,2,12,14.0
2,55,2,12,
2,55,2,12,14.0
52,20,2,13,
52,20,2,13,14.0
32,52,2,13,
32,52,2,13,14.0
20,57,2,13,
20,57,2,13,14.0
15,24,1,13,
15,24,1,13,14.0
46,38,2,13,
46,38,2,13,14.0
46,59,2,13,
46,59,2,13,14.0
52,64,2,13,
52,64,2,13,14.0
59,6,2,13,
59,6,2,13,14.0
64,42,2,13,
64,42,2,13,14.0
9,39,2,13,
9,39,2,13,14.0
46,60,2,13,
46,60,2,13,14.0
60,8,2,14,
60,8,2,14,14.0
8,10,2,14,
8,10,2,14,14.0
42,32,2,14,
42,32,2,14,14.0
32,13,2,14,
32,13,2,14,14.0
46,42,2,14,
46,42,2,14,14.0
42,59,2,14,
42,59,2,14,14.0
59,50,2,14,
59,50,2,14,14.0
46,64,2,14,
46,64,2,14,14.0
46,9,2,14,
46,9,2,14,14.0
46,30,2,14,
46,30,2,14,15.0
46,24,2,14,
46,24,2,14,15.0
9,52,2,14,
9,52,2,14,15.0
46,41,2,14,
46,41,2,14,15.0
46,55,2,14,
46,55,2,14,15.0
41,20,2,14,
41,20,2,14,15.0
20,71,2,14,
20,71,2,14,15.0
46,22,2,14,
46,22,2,14,15.0
52,26,2,15,
52,26,2,15,15.0
22,41,2,15,
22,41,2,15,15.0
64,66,2,15,
64,66,2,15,16.0
46,57,2,15,
46,57,2,15,16.0
41,39,2,15,
41,39,2,15,16.0
46,64,2,15,
46,64,2,15,16.0
15,22,2,15,
15,22,2,15,16.0
22,38,2,15,
22,38,2,15,16.0
64,42,2,15,
64,42,2,15,16.0
15,54,2,15,
15,54,2,15,16.0
15,8,1,16,
15,8,1,16,16.0
8,62,1,16,
8,62,1,16,16.0
42,11,2,16,
42,11,2,16,16.0
15,9,2,16,
15,9,2,16,16.0
46,64,2,16,
46,64,2,16,16.0
9,6,2,16,
9,6,2,16,16.0
64,60,2,16,
64,60,2,16,16.0
46,32,1,16,
46,32,1,16,16.0
15,20,2,16,
15,20,2,16,16.0
60,2,2,16,
60,2,2,16,16.0
2,36,2,16,
2,36,2,16,16.0
32,21,1,16,
32,21,1,16,16.0
20,65,2,16,
20,65,2,16,16.0
21,50,1,16,
21,50,1,16,16.0
15,13,2,17,
15,13,2,17,16.0
15,52,2,17,
15,52,2,17,16.0
15,2,2,17,
15,2,2,17,16.0
2,41,2,17,
2,41,2,17,16.0
52,66,2,17,
52,66,2,17,16.0
46,38,2,17,
46,38,2,17,16.0
15,65,2,17,
15,65,2,17,16.0
41,8,2,17,
41,8,2,17,16.0
46,2,2,17,
46,2,2,17,16.0
8,29,2,17,
8,29,2,17,16.0
2,22,2,17,
2,22,2,17,16.0
22,20,2,17,
22,20,2,17,16.0
46,21,1,17,
46,21,1,17,16.0
20,42,2,18,
20,42,2,18,16.0
21,32,1,18,
21,32,1,18,16.0
32,2,1,18,
32,2,1,18,16.0
42,55,2,18,
42,55,2,18,16.0
2,12,1,18,
2,12,1,18,16.0
46,64,2,18,
46,64,2,18,17.0
12,52,1,18,
12,52,1,18,17.0
64,20,2,18,
64,20,2,18,17.0
20,8,2,18,
20,8,2,18,17.0
8,28,2,18,
8,28,2,18,17.0
46,50,2,18,
46,50,2,18,17.0
52,54,1,18,
52,54,1,18,17.0
46,60,2,18,
46,60,2,18,17.0
60,21,2,19,
60,21,2,19,17.0
46,22,2,19,
46,22,2,19,17.0
46,42,2,19,
46,42,2,19,17.0
42,39,2,19,
42,39,2,19,17.0
46,12,2,19,
46,12,2,19,17.0
12,26,2,19,
12,26,2,19,17.0
22,13,2,19,
22,13,2,19,17.0
21,59,2,19,
21,59,2,19,17.0
48,60,2,19,
48,60,2,19,17.0
59,31,2,19,
59,31,2,19,17.0
60,52,2,19,
60,52,2,19,17.0
48,10,2,19,
48,10,2,19,17.0
46,8,2,19,
46,8,2,19,17.0
8,0,2,19,
8,0,2,19,17.0
46,20,1,19,
46,20,1,19,17.0
52,64,2,19,
52,64,2,19,17.0
48,38,2,19,
48,38,2,19,17.0
20,11,1,19,
20,11,1,19,17.0
64,21,2,20,
64,21,2,20,17.0
21,60,2,20,
21,60,2,20,17.0
60,52,2,20,
60,52,2,20,17.0
48,36,2,20,
48,36,2,20,17.0
48,50,2,20,
48,50,2,20,17.0
52,32,2,20,
52,32,2,20,17.0
32,2,2,20,
32,2,2,20,17.0
2,41,2,20,
2,41,2,20,18.0
46,8,2,20,
46,8,2,20,18.0
8,64,2,20,
8,64,2,20,18.0
1,12,2,20,
1,12,2,20,18.0
46,59,2,21,
46,59,2,21,18.0
1,28,1,21,
1,28,1,21,18.0
59,24,2,21,
59,24,2,21,18.0
12,52,2,21,
12,52,2,21,18.0
52,10,2,21,
52,10,2,21,18.0
46,31,2,21,
46,31,2,21,18.0
46,20,2,21,
46,20,2,21,18.0
1,60,2,21,
1,60,2,21,19.0
46,9,2,21,
46,9,2,21,19.0
1,11,2,21,
1,11,2,21,19.0
9,55,2,21,
9,55,2,21,19.0
48,42,2,21,
48,42,2,21,19.0
42,5,2,21,
42,5,2,21,19.0
48,66,2,21,
48,66,2,21,19.0
60,12,2,21,
60,12,2,21,19.0
12,57,2,22,
12,57,2,22,19.0
1,64,2,22,
1,64,2,22,19.0
1,8,2,22,
1,8,2,22,19.0
64,60,2,22,
64,60,2,22,19.0
60,14,2,22,
60,14,2,22,19.0
48,21,2,22,
48,21,2,22,19.0
1,41,2,22,
1,41,2,22,19.0
41,39,2,22,
41,39,2,22,19.0
1,42,2,22,
1,42,2,22,19.0
48,65,2,22,
48,65,2,22,19.0
42,50,2,22,
42,50,2,22,19.0
48,9,2,22,
48,9,2,22,19.0
46,30,2,22,
46,30,2,22,19.0
8,59,2,22,
8,59,2,22,19.0
9,8,2,23,
9,8,2,23,19.0
8,26,2,23,
8,26,2,23,19.0
59,22,2,23,
59,22,2,23,20.0
48,12,2,23,
48,12,2,23,20.0
48,11,2,23,
48,11,2,23,21.0
46,60,1,23,
46,60,1,23,21.0
12,21,2,23,
12,21,2,23,21.0
60,52,1,23,
60,52,1,23,21.0
1,24,2,23,
1,24,2,23,21.0
21,20,2,23,
21,20,2,23,21.0
20,9,2,23,
20,9,2,23,21.0
1,17,2,23,
1,17,2,23,21.0
1,2,2,23,
1,2,2,23,21.0
9,38,2,23,
9,38,2,23,21.0
48,21,1,24,
48,21,1,24,21.0
46,12,2,24,
46,12,2,24,21.0
21,36,1,24,
21,36,1,24,21.0
12,16,2,24,
12,16,2,24,21.0
2,13,2,24,
2,13,2,24,21.0
1,18,2,24,
1,18,2,24,21.0
1,8,2,24,
1,8,2,24,21.0
46,50,1,24,
46,50,1,24,21.0
8,9,2,24,
8,9,2,24,21.0
1,57,2,24,
1,57,2,24,21.0
16,55,2,24,
16,55,2,24,21.0
9,38,2,25,
9,38,2,25,21.0
48,20,2,25,
48,20,2,25,21.0
20,41,2,25,
20,41,2,25,21.0
48,2,2,25,
48,2,2,25,21.0
2,60,2,25,
2,60,2,25,21.0
41,52,2,25,
41,52,2,25,21.0
52,65,2,25,
52,65,2,25,21.0
60,28,2,25,
60,28,2,25,21.0
48,32,2,25,
48,32,2,25,21.0
32,11,2,25,
32,11,2,25,21.0
48,9,2,25,
48,9,2,25,22.0
1,17,2,25,
1,17,2,25,22.0
48,64,2,25,
48,64,2,25,22.0
1,8,2,25,
1,8,2,25,22.0
1,21,2,25,
1,21,2,25,22.0
9,2,2,26,
9,2,2,26,22.0
8,60,2,26,
8,60,2,26,22.0
60,32,2,26,
60,32,2,26,22.0
1,16,2,26,
1,16,2,26,22.0
48,59,2,26,
48,59,2,26,22.0
