cell_id,x,y,feeds,last_fed,hunger,distance_from_center,is_periphery
0,7.758,8.167,26,348,74,0.5532438883530477,False
158,7.666,8.229,97,392,146,0.6526833841917522,False
164,7.696,7.886,29,324,53,0.3793597237451538,False
159,8.049,8.141,23,378,81,0.4673150971239862,False
6,7.913,7.858,21,383,71,0.20760154142009574,False
1,8.149,8.167,92,397,155,0.5106867924667728,False
165,8.166,7.808,11,313,47,0.2038062805705476,False
172,7.853,7.533,19,378,137,0.2128647457894314,False
171,7.411,7.612,53,396,123,0.6037171523155511,False
13,7.563,7.539,13,394,97,0.46862885101111584,False
7,8.324,7.755,37,365,122,0.3226248595505328,False
14,7.964,7.477,17,315,46,0.20378910667648412,False
2,8.674,8.105,324,396,130,0.7897890857691074,True
173,8.245,7.318,48,386,159,0.4268029990522562,False
166,8.588,7.612,19,324,104,0.5800532734154691,False
180,7.49,7.19,36,366,67,0.7122338099248006,True
15,8.396,7.364,47,338,58,0.4947348784955449,False
22,7.666,7.107,35,388,167,0.6649454112932862,False
8,8.746,7.632,144,384,162,0.7358691459763774,True
181,7.911,7.004,54,392,114,0.6786675180086339,True
