cell_id,x,y,feeds,last_fed,hunger,distance_from_center,is_periphery
0,7.758,8.167,29,381,113,0.7276146331984018,False
158,7.666,8.229,61,365,89,0.8257275505745081,False
164,7.696,7.886,29,383,115,0.5340954232261418,False
159,8.049,8.141,96,397,106,0.6274750362453569,False
6,7.913,7.858,25,385,125,0.3819356679395686,False
1,8.149,8.167,141,395,140,0.6564229234605119,False
165,8.166,7.808,16,393,124,0.30620503116557635,False
172,7.853,7.533,18,369,99,0.22727337674654655,False
171,7.411,7.612,44,392,75,0.6756064345789229,False
13,7.563,7.539,27,351,119,0.5170918562284438,False
7,8.324,7.755,27,399,92,0.3431221178790115,False
14,7.964,7.477,44,390,79,0.1213633158925882,False
2,8.674,8.105,283,398,88,0.8380907594712594,False
173,8.245,7.318,19,391,80,0.25673109364555796,False
166,8.588,7.612,22,336,97,0.5178069663923461,False
180,7.49,7.19,21,312,80,0.6727994657482343,False
15,8.396,7.364,45,390,108,0.350360273306081,False
22,7.666,7.107,19,326,67,0.5803864124682592,False
8,8.746,7.632,62,392,136,0.6768185781860447,False
181,7.911,7.004,17,371,146,0.5373679569076583,False
160,8.902,7.906,143,398,114,0.9110220932800941,True
23,8.098,7.014,89,383,87,0.5006086173626827,False
319,7.313,6.892,6,314,73,0.9872882327083833,True
3,9.116,7.961,303,399,95,1.1286730798203315,True
174,8.656,7.102,108,393,86,0.7087425868708928,False
31,7.316,6.829,16,364,118,1.0259252674753865,True
16,8.87,7.272,36,395,169,0.826791018200958,False
189,7.137,6.867,21,362,79,1.1433548826929356,True
167,8.98,7.386,43,326,67,0.9095892412390217,True
32,7.769,6.695,65,387,94,0.8761324792011247,False
