giver,receiver,amt,time,bout_id
16,10,2,1,
16,10,2,1,1.0
16,18,2,1,
16,18,2,1,1.0
16,12,1,1,
16,12,1,1,1.0
16,0,2,2,
16,0,2,2,2.0
16,5,1,2,
16,5,1,2,2.0
16,1,2,4,
16,1,2,4,2.0
1,4,2,4,
1,4,2,4,2.0
16,12,2,4,
16,12,2,4,2.0
4,17,2,4,
4,17,2,4,2.0
16,18,2,4,
16,18,2,4,2.0
16,13,2,5,
16,13,2,5,2.0
16,4,2,5,
16,4,2,5,2.0
4,10,2,5,
4,10,2,5,2.0
16,11,2,5,
16,11,2,5,3.0
16,3,2,5,
16,3,2,5,3.0
16,7,2,5,
16,7,2,5,3.0
16,9,2,5,
16,9,2,5,3.0
9,2,2,6,
9,2,2,6,3.0
2,14,2,6,
2,14,2,6,3.0
14,0,2,6,
14,0,2,6,3.0
16,17,2,6,
16,17,2,6,3.0
16,5,2,6,
16,5,2,6,3.0
16,8,2,6,
16,8,2,6,3.0
16,9,2,6,
16,9,2,6,3.0
9,11,2,7,
9,11,2,7,3.0
16,2,2,7,
16,2,2,7,3.0
2,3,2,7,
2,3,2,7,4.0
16,9,2,7,
16,9,2,7,4.0
9,0,2,8,
9,0,2,8,4.0
16,14,2,8,
16,14,2,8,4.0
16,4,2,8,
16,4,2,8,4.0
16,9,2,8,
16,9,2,8,4.0
14,10,2,8,
14,10,2,8,4.0
16,2,2,8,
16,2,2,8,4.0
2,1,2,8,
2,1,2,8,4.0
1,13,2,8,
1,13,2,8,4.0
4,8,2,8,
4,8,2,8,4.0
16,5,2,9,
16,5,2,9,4.0
16,15,2,9,
16,15,2,9,4.0
16,14,2,9,
16,14,2,9,4.0
16,1,2,9,
16,1,2,9,4.0
1,7,2,9,
1,7,2,9,4.0
16,4,2,9,
16,4,2,9,4.0
4,11,2,9,
4,11,2,9,4.0
14,10,2,10,
14,10,2,10,4.0
16,4,2,10,
16,4,2,10,4.0
4,3,2,10,
4,3,2,10,4.0
16,11,2,11,
16,11,2,11,4.0
16,1,2,11,
16,1,2,11,4.0
1,7,2,11,
1,7,2,11,4.0
16,5,2,11,
16,5,2,11,4.0
16,9,2,11,
16,9,2,11,4.0
9,2,2,11,
9,2,2,11,4.0
2,1,2,11,
2,1,2,11,4.0
16,13,2,11,
16,13,2,11,4.0
1,15,2,11,
1,15,2,11,4.0
16,9,2,12,
16,9,2,12,5.0
16,3,2,12,
16,3,2,12,5.0
9,14,2,12,
9,14,2,12,5.0
16,2,1,12,
16,2,1,12,5.0
2,1,1,12,
2,1,1,12,5.0
16,2,2,13,
16,2,2,13,5.0
2,7,2,13,
2,7,2,13,5.0
16,9,2,13,
16,9,2,13,5.0
1,4,1,13,
1,4,1,13,5.0
9,11,2,14,
9,11,2,14,5.0
16,7,2,14,
16,7,2,14,5.0
16,9,2,14,
16,9,2,14,5.0
9,3,2,14,
9,3,2,14,5.0
16,15,2,14,
16,15,2,14,5.0
16,4,2,15,
16,4,2,15,6.0
16,15,2,16,
16,15,2,16,6.0
4,2,2,16,
4,2,2,16,6.0
2,4,2,16,
2,4,2,16,6.0
16,14,2,16,
16,14,2,16,6.0
4,13,2,16,
4,13,2,16,6.0
16,1,2,16,
16,1,2,16,6.0
14,11,2,17,
14,11,2,17,6.0
16,2,2,17,
16,2,2,17,6.0
16,4,2,17,
16,4,2,17,6.0
2,3,2,17,
2,3,2,17,6.0
4,1,2,18,
4,1,2,18,6.0
1,4,2,18,
1,4,2,18,6.0
4,14,2,18,
4,14,2,18,6.0
14,2,2,18,
14,2,2,18,6.0
16,7,2,18,
16,7,2,18,6.0
16,13,2,18,
16,13,2,18,6.0
2,9,2,18,
2,9,2,18,6.0
9,14,2,19,
9,14,2,19,6.0
16,8,2,19,
16,8,2,19,6.0
14,11,2,19,
14,11,2,19,6.0
16,4,2,19,
16,4,2,19,6.0
4,1,2,19,
4,1,2,19,6.0
16,2,2,19,
16,2,2,19,6.0
16,5,2,20,
16,5,2,20,6.0
2,15,2,20,
2,15,2,20,6.0
16,4,2,20,
16,4,2,20,7.0
4,7,2,20,
4,7,2,20,7.0
16,3,1,20,
16,3,1,20,7.0
16,7,2,22,
16,7,2,22,8.0
16,2,2,22,
16,2,2,22,8.0
16,1,2,22,
16,1,2,22,8.0
1,12,2,22,
1,12,2,22,8.0
2,9,2,22,
2,9,2,22,8.0
16,15,2,22,
16,15,2,22,8.0
9,3,2,22,
9,3,2,22,8.0
16,1,2,23,
16,1,2,23,8.0
1,9,2,23,
1,9,2,23,8.0
9,8,2,23,
9,8,2,23,8.0
16,1,2,24,
16,1,2,24,9.0
1,11,2,24,
1,11,2,24,9.0
16,1,2,24,
16,1,2,24,9.0
16,4,2,24,
16,4,2,24,9.0
1,2,2,24,
1,2,2,24,9.0
2,5,2,24,
2,5,2,24,9.0
16,15,2,24,
16,15,2,24,9.0
16,5,2,25,
16,5,2,25,9.0
16,14,2,37,
16,14,2,37,10.0
14,3,2,37,
14,3,2,37,10.0
16,1,2,38,
16,1,2,38,10.0
16,2,2,38,
16,2,2,38,10.0
2,8,2,38,
2,8,2,38,10.0
1,14,2,38,
1,14,2,38,10.0
16,4,2,38,
16,4,2,38,10.0
16,9,2,38,
16,9,2,38,10.0
14,12,2,38,
14,12,2,38,10.0
4,5,2,39,
4,5,2,39,10.0
9,11,2,39,
9,11,2,39,10.0
16,4,2,39,
16,4,2,39,10.0
4,8,2,40,
4,8,2,40,10.0
16,12,2,40,
16,12,2,40,10.0
16,17,2,40,
16,17,2,40,10.0
16,14,2,40,
16,14,2,40,10.0
16,12,2,40,
16,12,2,40,10.0
14,1,2,40,
14,1,2,40,10.0
16,9,2,41,
16,9,2,41,10.0
16,4,2,41,
16,4,2,41,10.0
9,2,2,41,
9,2,2,41,10.0
4,3,2,41,
4,3,2,41,10.0
2,11,2,41,
2,11,2,41,10.0
16,9,2,42,
16,9,2,42,11.0
16,17,2,42,
16,17,2,42,11.0
16,10,2,42,
16,10,2,42,11.0
16,4,2,42,
16,4,2,42,11.0
4,1,2,43,
4,1,2,43,11.0
1,14,2,43,
1,14,2,43,11.0
14,12,2,43,
14,12,2,43,11.0
16,2,2,43,
16,2,2,43,12.0
2,3,2,44,
2,3,2,44,12.0
16,11,2,44,
16,11,2,44,12.0
16,1,2,44,
16,1,2,44,12.0
1,14,2,44,
1,14,2,44,12.0
16,8,2,44,
16,8,2,44,12.0
14,17,2,44,
14,17,2,44,12.0
16,9,2,44,
16,9,2,44,13.0
9,4,2,44,
9,4,2,44,13.0
4,2,2,44,
4,2,2,44,13.0
16,14,1,45,
16,14,1,45,13.0
14,12,1,45,
14,12,1,45,13.0
16,14,2,46,
16,14,2,46,14.0
14,1,2,46,
14,1,2,46,14.0
16,3,2,46,
16,3,2,46,14.0
1,4,2,46,
1,4,2,46,14.0
16,8,2,46,
16,8,2,46,14.0
4,9,2,47,
4,9,2,47,14.0
9,12,2,47,
9,12,2,47,14.0
16,2,2,47,
16,2,2,47,14.0
16,14,2,47,
16,14,2,47,14.0
16,4,2,48,
16,4,2,48,14.0
14,2,2,48,
14,2,2,48,14.0
4,9,2,48,
4,9,2,48,14.0
9,11,2,48,
9,11,2,48,14.0
2,7,2,48,
2,7,2,48,14.0
16,2,2,49,
16,2,2,49,14.0
2,8,2,49,
2,8,2,49,14.0
16,8,1,49,
16,8,1,49,14.0
16,2,2,53,
16,2,2,53,15.0
2,14,2,53,
2,14,2,53,15.0
16,11,2,53,
16,11,2,53,15.0
16,10,2,53,
16,10,2,53,15.0
16,7,2,53,
16,7,2,53,15.0
16,3,2,53,
16,3,2,53,15.0
14,13,2,54,
14,13,2,54,15.0
16,9,2,54,
16,9,2,54,15.0
16,3,2,55,
16,3,2,55,15.0
16,9,2,55,
16,9,2,55,15.0
9,12,2,55,
9,12,2,55,15.0
16,2,2,56,
16,2,2,56,15.0
2,14,2,56,
2,14,2,56,15.0
16,7,2,56,
16,7,2,56,15.0
16,13,2,56,
16,13,2,56,15.0
14,1,2,56,
14,1,2,56,15.0
16,12,1,57,
16,12,1,57,15.0
16,3,2,58,
16,3,2,58,15.0
16,4,2,58,
16,4,2,58,15.0
16,4,1,58,
16,4,1,58,15.0
4,14,2,58,
4,14,2,58,15.0
4,1,1,58,
4,1,1,58,15.0
1,9,1,58,
1,9,1,58,15.0
9,8,1,58,
9,8,1,58,15.0
14,12,2,59,
14,12,2,59,15.0
16,7,2,61,
16,7,2,61,15.0
16,1,2,61,
16,1,2,61,15.0
1,18,2,61,
1,18,2,61,15.0
16,14,2,61,
16,14,2,61,15.0
16,12,2,61,
16,12,2,61,15.0
16,3,2,62,
16,3,2,62,16.0
16,7,2,62,
16,7,2,62,16.0
16,13,2,62,
16,13,2,62,16.0
16,14,2,63,
16,14,2,63,16.0
14,4,2,63,
14,4,2,63,16.0
4,14,2,64,
4,14,2,64,16.0
16,3,2,64,
16,3,2,64,16.0
14,9,2,64,
14,9,2,64,16.0
9,12,2,64,
9,12,2,64,16.0
16,2,2,68,
16,2,2,68,17.0
16,4,1,68,
16,4,1,68,17.0
4,12,1,68,
4,12,1,68,17.0
2,14,2,69,
2,14,2,69,17.0
14,4,2,69,
14,4,2,69,17.0
4,9,2,69,
4,9,2,69,17.0
9,1,2,69,
9,1,2,69,17.0
16,7,2,69,
16,7,2,69,18.0
1,14,2,70,
1,14,2,70,18.0
16,1,2,70,
16,1,2,70,18.0
16,12,2,70,
16,12,2,70,18.0
1,4,2,70,
1,4,2,70,18.0
16,9,2,70,
16,9,2,70,18.0
9,2,2,70,
9,2,2,70,18.0
14,12,2,71,
14,12,2,71,18.0
16,14,2,71,
16,14,2,71,19.0
16,4,2,72,
16,4,2,72,19.0
16,12,2,72,
16,12,2,72,19.0
16,1,2,72,
16,1,2,72,19.0
1,7,2,72,
1,7,2,72,19.0
4,3,2,72,
4,3,2,72,19.0
16,2,2,73,
16,2,2,73,19.0
2,4,2,73,
2,4,2,73,19.0
4,14,2,73,
4,14,2,73,19.0
14,3,2,74,
14,3,2,74,20.0
16,4,2,74,
16,4,2,74,20.0
16,2,2,74,
16,2,2,74,20.0
2,12,2,74,
2,12,2,74,20.0
16,9,2,74,
16,9,2,74,20.0
16,2,2,74,
16,2,2,74,20.0
16,7,2,75,
16,7,2,75,20.0
4,14,2,75,
4,14,2,75,20.0
16,2,2,75,
16,2,2,75,20.0
2,18,2,75,
2,18,2,75,20.0
14,1,2,75,
14,1,2,75,20.0
1,9,2,76,
1,9,2,76,20.0
9,1,2,76,
9,1,2,76,20.0
1,4,2,76,
1,4,2,76,20.0
4,12,2,76,
4,12,2,76,20.0
16,4,2,85,
16,4,2,85,20.0
4,1,2,85,
4,1,2,85,20.0
16,18,2,85,
16,18,2,85,20.0
16,9,1,86,
16,9,1,86,20.0
9,4,1,86,
9,4,1,86,20.0
16,18,2,87,
16,18,2,87,20.0
4,2,1,87,
4,2,1,87,20.0
2,4,1,87,
2,4,1,87,20.0
4,12,1,87,
4,12,1,87,20.0
16,2,2,88,
16,2,2,88,20.0
2,1,2,88,
2,1,2,88,20.0
16,10,1,88,
16,10,1,88,20.0
16,4,2,89,
16,4,2,89,20.0
4,2,2,89,
4,2,2,89,20.0
2,7,2,89,
2,7,2,89,20.0
16,12,2,89,
16,12,2,89,20.0
16,9,1,89,
16,9,1,89,20.0
9,1,1,90,
9,1,1,90,20.0
1,18,1,90,
1,18,1,90,20.0
16,12,2,91,
16,12,2,91,21.0
16,9,2,91,
16,9,2,91,21.0
9,1,2,91,
9,1,2,91,21.0
1,7,2,91,
1,7,2,91,21.0
16,1,1,91,
16,1,1,91,21.0
1,4,1,91,
1,4,1,91,21.0
16,1,2,101,
16,1,2,101,22.0
1,14,2,101,
1,14,2,101,22.0
16,4,2,102,
16,4,2,102,22.0
4,2,2,102,
4,2,2,102,22.0
16,2,2,102,
16,2,2,102,22.0
16,9,2,103,
16,9,2,103,22.0
2,1,2,103,
2,1,2,103,22.0
1,4,2,103,
1,4,2,103,22.0
4,14,2,103,
4,14,2,103,22.0
14,13,2,104,
14,13,2,104,22.0
16,9,2,111,
16,9,2,111,22.0
16,11,2,112,
16,11,2,112,22.0
16,13,2,112,
16,13,2,112,22.0
16,14,2,112,
16,14,2,112,22.0
9,3,2,112,
9,3,2,112,22.0
14,2,2,112,
14,2,2,112,22.0
2,9,2,112,
2,9,2,112,22.0
9,2,2,113,
9,2,2,113,22.0
16,4,2,114,
16,4,2,114,22.0
16,13,2,114,
16,13,2,114,22.0
2,3,2,114,
2,3,2,114,22.0
4,2,2,114,
4,2,2,114,22.0
2,9,2,114,
2,9,2,114,22.0
16,13,2,114,
16,13,2,114,22.0
9,1,2,115,
9,1,2,115,22.0
16,4,2,115,
16,4,2,115,22.0
16,2,2,115,
16,2,2,115,22.0
2,9,2,115,
2,9,2,115,22.0
16,14,2,116,
16,14,2,116,22.0
16,13,1,116,
16,13,1,116,22.0
1,17,2,116,
1,17,2,116,22.0
16,14,2,117,
16,14,2,117,22.0
14,4,2,117,
14,4,2,117,22.0
16,14,2,118,
16,14,2,118,22.0
16,13,1,118,
16,13,1,118,22.0
14,4,2,119,
14,4,2,119,22.0
4,0,2,119,
4,0,2,119,22.0
16,14,2,125,
16,14,2,125,22.0
16,9,2,125,
16,9,2,125,22.0
9,12,2,126,
9,12,2,126,22.0
16,13,2,126,
16,13,2,126,22.0
16,14,2,126,
16,14,2,126,22.0
14,2,2,126,
14,2,2,126,22.0
2,4,2,126,
2,4,2,126,22.0
4,1,2,126,
4,1,2,126,22.0
1,17,2,127,
1,17,2,127,22.0
16,4,2,127,
16,4,2,127,22.0
4,14,2,127,
4,14,2,127,22.0
16,1,2,128,
16,1,2,128,22.0
16,2,1,128,
16,2,1,128,22.0
2,13,1,129,
2,13,1,129,22.0
16,2,2,129,
16,2,2,129,22.0
16,9,1,129,
16,9,1,129,22.0
2,14,2,129,
2,14,2,129,22.0
9,6,1,129,
9,6,1,129,22.0
14,11,2,129,
14,11,2,129,22.0
6,12,1,130,
6,12,1,130,22.0
16,4,2,130,
16,4,2,130,23.0
16,14,1,130,
16,14,1,130,23.0
4,17,2,130,
4,17,2,130,23.0
14,9,1,130,
14,9,1,130,23.0
9,6,1,130,
9,6,1,130,23.0
6,4,1,131,
6,4,1,131,23.0
4,2,1,131,
4,2,1,131,23.0
2,1,1,131,
2,1,1,131,23.0
16,11,2,132,
16,11,2,132,23.0
16,9,2,132,
16,9,2,132,23.0
16,12,2,132,
16,12,2,132,23.0
16,2,2,132,
16,2,2,132,23.0
9,17,2,132,
9,17,2,132,23.0
2,6,2,132,
2,6,2,132,23.0
6,14,2,132,
6,14,2,132,23.0
14,10,2,132,
14,10,2,132,23.0
16,5,2,132,
16,5,2,132,23.0
16,4,2,132,
16,4,2,132,23.0
16,13,2,133,
16,13,2,133,23.0
16,1,2,133,
16,1,2,133,23.0
16,6,2,133,
16,6,2,133,23.0
1,10,2,134,
1,10,2,134,23.0
16,3,2,134,
16,3,2,134,23.0
6,9,2,134,
6,9,2,134,23.0
16,11,2,134,
16,11,2,134,23.0
16,6,2,134,
16,6,2,134,23.0
6,17,2,135,
6,17,2,135,23.0
16,2,2,135,
16,2,2,135,23.0
2,4,2,135,
2,4,2,135,23.0
4,9,2,136,
4,9,2,136,23.0
9,4,2,136,
9,4,2,136,23.0
4,2,2,136,
4,2,2,136,23.0
2,12,2,136,
2,12,2,136,23.0
16,3,2,137,
16,3,2,137,23.0
16,1,2,137,
16,1,2,137,23.0
1,2,2,137,
1,2,2,137,23.0
2,9,2,137,
2,9,2,137,23.0
9,4,2,138,
9,4,2,138,23.0
4,14,2,138,
4,14,2,138,23.0
14,10,2,138,
14,10,2,138,23.0
16,17,2,138,
16,17,2,138,24.0
