wasp_id,cell_id,amt,time,bout_id
8,24,2,2,
8,24,2,2,3.0
37,24,2,2,
37,24,2,2,3.0
4,7,2,2,
4,7,2,2,3.0
26,160,2,2,
26,160,2,2,4.0
41,182,2,2,
41,182,2,2,4.0
14,7,3,1,
14,7,1,3,4.0
30,3,3,2,
30,3,2,3,4.0
32,173,3,1,
32,173,1,3,4.0
12,175,4,2,
12,175,2,4,5.0
4,2,4,2,
4,2,2,4,5.0
0,1,4,2,
0,1,2,4,6.0
27,175,4,2,
27,175,2,4,6.0
7,16,4,2,
7,16,2,4,7.0
22,158,5,2,
22,158,2,5,8.0
29,4,5,2,
29,4,2,5,9.0
16,3,5,2,
16,3,2,5,9.0
21,15,5,2,
21,15,2,5,9.0
14,1,5,2,
14,1,2,5,9.0
30,160,5,2,
30,160,2,5,9.0
7,17,5,2,
7,17,2,5,9.0
18,181,5,2,
18,181,2,5,9.0
3,6,5,1,
3,6,1,5,9.0
38,3,6,2,
38,3,2,6,9.0
32,7,6,2,
32,7,2,6,9.0
6,14,6,2,
6,14,2,6,10.0
45,319,6,2,
45,319,2,6,10.0
8,17,6,2,
8,17,2,6,10.0
37,23,6,2,
37,23,2,6,10.0
29,4,7,2,
29,4,2,7,10.0
7,17,7,2,
7,17,2,7,10.0
26,17,7,1,
26,17,1,7,10.0
4,2,7,2,
4,2,2,7,10.0
8,175,7,2,
8,175,2,7,10.0
30,2,8,2,
30,2,2,8,10.0
4,2,8,2,
4,2,2,8,10.0
32,173,8,2,
32,173,2,8,10.0
36,15,8,2,
36,15,2,8,10.0
26,167,9,2,
26,167,2,9,10.0
7,17,9,1,
7,17,1,9,10.0
4,2,10,2,
4,2,2,10,10.0
3,171,10,2,
3,171,2,10,10.0
16,3,11,2,
16,3,2,11,12.0
21,175,11,2,
21,175,2,11,12.0
32,181,11,2,
32,181,2,11,12.0
7,17,11,2,
7,17,2,11,12.0
8,17,12,2,
8,17,2,12,12.0
4,2,12,2,
4,2,2,12,12.0
18,23,12,2,
18,23,2,12,12.0
36,9,12,2,
36,9,2,12,12.0
36,9,13,2,
36,9,2,13,12.0
26,158,13,2,
26,158,2,13,12.0
7,17,13,1,
7,17,1,13,14.0
25,3,13,2,
25,3,2,13,14.0
22,159,13,2,
22,159,2,13,14.0
2,0,13,2,
2,0,2,13,14.0
16,3,14,2,
16,3,2,14,14.0
40,3,14,2,
40,3,2,14,14.0
33,3,14,2,
33,3,2,14,14.0
36,9,14,1,
36,9,1,14,14.0
0,6,14,2,
0,6,2,14,14.0
21,183,14,2,
21,183,2,14,14.0
26,1,15,2,
26,1,2,15,14.0
34,189,15,2,
34,189,2,15,14.0
13,167,15,1,
13,167,1,15,14.0
4,2,15,2,
4,2,2,15,14.0
30,4,15,2,
30,4,2,15,14.0
22,1,15,2,
22,1,2,15,15.0
18,16,15,2,
18,16,2,15,15.0
25,4,16,2,
25,4,2,16,15.0
36,9,16,2,
36,9,2,16,15.0
7,17,16,2,
7,17,2,16,15.0
21,183,17,2,
21,183,2,17,16.0
8,174,17,2,
8,174,2,17,16.0
18,175,17,2,
18,175,2,17,17.0
26,1,18,2,
26,1,2,18,17.0
7,17,18,2,
7,17,2,18,17.0
20,190,18,2,
20,190,2,18,17.0
4,2,18,2,
4,2,2,18,17.0
42,182,19,2,
42,182,2,19,17.0
31,24,19,2,
31,24,2,19,17.0
8,24,19,2,
8,24,2,19,17.0
30,3,19,2,
30,3,2,19,18.0
36,161,19,2,
36,161,2,19,18.0
18,17,19,2,
