wasp_id,cell_id,amt,time,bout_id
44,26,37,2,
44,26,2,37,24.0
12,2,38,2,
12,2,2,38,24.0
7,182,38,2,
7,182,2,38,24.0
8,9,39,2,
8,9,2,39,24.0
14,158,39,2,
14,158,2,39,24.0
13,174,39,2,
13,174,2,39,24.0
35,2,39,2,
35,2,2,39,24.0
26,168,40,2,
26,168,2,40,24.0
29,4,40,2,
29,4,2,40,24.0
4,173,40,2,
4,173,2,40,24.0
37,15,40,2,
37,15,2,40,24.0
46,167,40,2,
46,167,2,40,24.0
7,173,40,2,
7,173,2,40,24.0
13,167,41,2,
13,167,2,41,24.0
51,160,41,2,
51,160,2,41,24.0
39,3,41,2,
39,3,2,41,24.0
12,2,41,2,
12,2,2,41,24.0
50,2,41,2,
50,2,2,41,24.0
6,3,41,2,
6,3,2,41,24.0
14,0,42,2,
14,0,2,42,24.0
24,160,42,2,
24,160,2,42,24.0
13,168,43,2,
13,168,2,43,24.0
50,2,43,2,
50,2,2,43,24.0
46,24,43,2,
46,24,2,43,24.0
32,23,43,2,
32,23,2,43,24.0
37,24,43,2,
37,24,2,43,24.0
12,2,43,2,
12,2,2,43,24.0
4,23,43,2,
4,23,2,43,24.0
53,3,44,2,
53,3,2,44,24.0
0,5,45,2,
0,5,2,45,24.0
4,22,45,2,
4,22,2,45,24.0
12,2,45,2,
12,2,2,45,24.0
7,2,45,2,
7,2,2,45,24.0
13,162,45,2,
13,162,2,45,24.0
46,23,45,2,
46,23,2,45,24.0
35,192,46,1,
35,192,1,46,24.0
32,14,46,2,
32,14,2,46,24.0
37,18,46,2,
37,18,2,46,24.0
50,2,47,2,
50,2,2,47,24.0
16,180,47,2,
16,180,2,47,24.0
42,160,47,2,
42,160,2,47,24.0
44,26,47,1,
44,26,1,47,24.0
46,181,47,2,
46,181,2,47,24.0
13,4,47,2,
13,4,2,47,25.0
36,1,48,2,
36,1,2,48,25.0
12,2,48,2,
12,2,2,48,25.0
8,5,48,2,
8,5,2,48,25.0
9,3,48,2,
9,3,2,48,25.0
13,161,48,2,
13,161,2,48,25.0
7,3,48,2,
7,3,2,48,25.0
29,4,49,2,
29,4,2,49,25.0
10,171,49,2,
10,171,2,49,25.0
32,2,49,2,
32,2,2,49,25.0
37,18,49,2,
37,18,2,49,25.0
35,337,49,2,
35,337,2,49,25.0
12,2,49,2,
12,2,2,49,25.0
50,2,50,1,
50,2,1,50,26.0
16,189,50,2,
16,189,2,50,26.0
13,162,50,1,
13,162,1,50,26.0
4,312,50,2,
4,312,2,50,26.0
7,161,50,1,
7,161,1,50,26.0
12,2,51,2,
12,2,2,51,26.0
9,9,51,2,
9,9,2,51,26.0
44,26,51,2,
44,26,2,51,26.0
52,33,51,2,
52,33,2,51,26.0
37,18,51,2,
37,18,2,51,26.0
46,160,52,2,
46,160,2,52,26.0
30,191,52,2,
30,191,2,52,26.0
7,4,52,1,
7,4,1,52,26.0
50,2,52,2,
50,2,2,52,26.0
13,10,52,2,
13,10,2,52,26.0
32,167,52,2,
32,167,2,52,26.0
4,180,53,2,
4,180,2,53,26.0
12,2,53,2,
12,2,2,53,26.0
22,3,54,2,
22,3,2,54,26.0
7,161,54,2,
7,161,2,54,26.0
46,3,54,2,
46,3,2,54,26.0
20,3,54,2,
20,3,2,54,26.0
44,26,54,2,
44,26,2,54,26.0
13,168,54,1,
13,168,1,54,26.0
50,2,54,2,
50,2,2,54,26.0
14,6,55,2,
14,6,2,55,26.0
46,160,55,2,
46,160,2,55,26.0
44,184,56,2,
44,184,2,56,26.0
50,2,56,2,
50,2,2,56,26.0
7,2,56,2,
7,2,2,56,26.0
23,4,56,2,
23,4,2,56,26.0
12,2,56,2,
12,2,2,56,26.0
13,18,56,2,
13,18,2,56,26.0
8,161,57,2,
8,161,2,57,27.0
46,161,58,2,
46,161,2,58,28.0
50,2,58,2,
50,2,2,58,28.0
32,35,58,2,
32,35,2,58,28.0
53,160,59,2,
53,160,2,59,28.0
13,18,59,2,
13,18,2,59,28.0
12,2,59,2,
12,2,2,59,28.0
46,162,59,1,
46,162,1,59,28.0
8,162,60,2,
8,162,2,60,28.0
42,3,60,2,
42,3,2,60,28.0
50,2,60,2,
50,2,2,60,29.0
14,159,60,2,
14,159,2,60,29.0
7,2,61,2,
7,2,2,61,30.0
12,2,61,2,
12,2,2,61,30.0
13,18,61,1,
13,18,1,61,30.0
50,2,62,2,
50,2,2,62,30.0
46,5,62,2,
46,5,2,62,30.0
9,3,63,2,
9,3,2,63,30.0
29,161,63,2,
29,161,2,63,30.0
10,23,63,2,
10,23,2,63,30.0
7,2,63,2,
7,2,2,63,30.0
12,2,63,2,
12,2,2,63,30.0
26,160,63,2,
26,160,2,63,30.0
18,172,65,2,
18,172,2,65,30.0
42,3,65,1,
42,3,1,65,30.0
14,1,65,2,
14,1,2,65,30.0
46,5,65,2,
46,5,2,65,30.0
7,2,65,2,
7,2,2,65,30.0
0,160,65,2,
0,160,2,65,30.0
12,2,65,2,
12,2,2,65,30.0
50,3,66,2,
50,3,2,66,31.0
46,5,66,2,
46,5,2,66,31.0
13,18,66,2,
13,18,2,66,31.0
29,168,67,2,
29,168,2,67,31.0
7,2,67,2,
7,2,2,67,31.0
0,8,67,2,
0,8,2,67,31.0
42,3,67,2,
42,3,2,67,31.0
52,193,67,2,
52,193,2,67,31.0
26,8,67,2,
26,8,2,67,31.0
12,2,67,2,
12,2,2,67,31.0
43,3,68,2,
43,3,2,68,31.0
18,171,68,2,
18,171,2,68,32.0
32,192,68,2,
32,192,2,68,32.0
53,3,68,2,
53,3,2,68,32.0
50,3,68,2,
50,3,2,68,32.0
46,5,68,2,
46,5,2,68,32.0
8,15,69,2,
8,15,2,69,32.0
12,2,69,2,
12,2,2,69,32.0
13,18,69,2,
13,18,2,69,32.0
14,7,69,1,
14,7,1,69,32.0
7,2,69,2,
7,2,2,69,32.0
42,8,70,2,
42,8,2,70,32.0
46,5,70,2,
46,5,2,70,32.0
51,3,70,2,
51,3,2,70,32.0
38,1,70,2,
38,1,2,70,32.0
52,35,71,2,
52,35,2,71,32.0
18,180,71,2,
18,180,2,71,32.0
50,3,71,2,
50,3,2,71,32.0
14,14,71,2,
14,14,2,71,32.0
14,13,72,2,
14,13,2,72,32.0
8,14,72,2,
8,14,2,72,32.0
46,5,72,2,
46,5,2,72,33.0
23,5,72,2,
23,5,2,72,33.0
55,32,72,2,
55,32,2,72,33.0
7,9,73,1,
7,9,1,73,33.0
35,13,73,2,
35,13,2,73,33.0
12,3,73,2,
12,3,2,73,33.0
50,3,73,2,
50,3,2,73,33.0
26,3,73,2,
26,3,2,73,33.0
32,35,74,2,
32,35,2,74,33.0
46,5,74,2,
46,5,2,74,33.0
13,18,74,1,
13,18,1,74,33.0
54,3,74,2,
54,3,2,74,33.0
22,4,75,2,
22,4,2,75,33.0
10,193,75,2,
10,193,2,75,33.0
36,3,75,2,
