wasp_id,cell_id,amt,time,bout_id
12,164,2,1,
12,164,1,2,2.0
18,15,2,2,
18,15,2,2,2.0
0,164,3,2,
0,164,2,3,2.0
5,1,4,1,
5,1,1,4,2.0
10,181,4,2,
10,181,2,4,2.0
18,181,5,2,
18,181,2,5,2.0
17,181,5,2,
17,181,2,5,2.0
12,6,5,2,
12,6,2,5,3.0
3,15,6,2,
3,15,2,6,3.0
10,181,6,2,
10,181,2,6,3.0
11,158,6,2,
11,158,2,6,3.0
0,14,7,2,
0,14,2,7,3.0
17,22,7,2,
17,22,2,7,3.0
8,2,7,2,
8,2,2,7,3.0
5,1,7,2,
5,1,2,7,3.0
13,164,7,2,
13,164,2,7,4.0
7,181,7,2,
7,181,2,7,4.0
9,2,8,2,
9,2,2,8,4.0
11,159,8,2,
11,159,2,8,4.0
3,7,8,2,
3,7,2,8,4.0
10,181,9,2,
10,181,2,9,4.0
0,13,9,2,
0,13,2,9,4.0
8,2,9,2,
8,2,2,9,4.0
7,172,10,2,
7,172,2,10,4.0
15,164,10,2,
15,164,2,10,4.0
11,1,10,2,
11,1,2,10,4.0
13,1,10,2,
13,1,2,10,4.0
5,6,10,2,
5,6,2,10,4.0
3,2,11,2,
3,2,2,11,4.0
10,181,11,2,
10,181,2,11,4.0
13,1,12,2,
13,1,2,12,4.0
7,165,12,2,
7,165,2,12,4.0
11,159,12,2,
11,159,2,12,4.0
5,13,12,2,
5,13,2,12,4.0
15,158,13,2,
15,158,2,13,5.0
3,2,13,2,
3,2,2,13,5.0
14,2,13,2,
14,2,2,13,5.0
4,2,14,1,
4,2,1,14,5.0
3,2,15,2,
3,2,2,15,5.0
7,14,15,2,
7,14,2,15,5.0
15,1,16,2,
15,1,2,16,6.0
7,164,16,2,
7,164,2,16,6.0
11,1,16,2,
11,1,2,16,6.0
13,1,17,2,
13,1,2,17,6.0
15,1,17,2,
15,1,2,17,6.0
1,8,17,2,
1,8,2,17,6.0
11,1,18,2,
11,1,2,18,6.0
3,2,18,2,
3,2,2,18,6.0
7,158,19,2,
7,158,2,19,6.0
1,8,20,2,
1,8,2,20,6.0
13,171,20,2,
13,171,2,20,6.0
11,165,20,2,
11,165,2,20,6.0
8,2,20,2,
