wasp_id,cell_id,amt,time,bout_id
20,160,72,2,
20,160,2,72,22.0
2,173,73,2,
2,173,2,73,22.0
42,2,73,1,
42,2,1,73,22.0
28,158,74,2,
28,158,2,74,22.0
26,189,75,2,
26,189,2,75,22.0
2,15,75,2,
2,15,2,75,22.0
32,3,75,2,
32,3,2,75,22.0
10,183,75,2,
10,183,2,75,22.0
42,2,75,2,
42,2,2,75,23.0
12,183,76,2,
12,183,2,76,23.0
13,4,77,2,
13,4,2,77,23.0
26,190,77,2,
26,190,2,77,23.0
42,2,77,2,
42,2,2,77,23.0
20,17,78,2,
20,17,2,78,23.0
32,3,78,2,
32,3,2,78,23.0
2,173,78,2,
2,173,2,78,23.0
28,167,79,2,
28,167,2,79,23.0
42,2,79,2,
42,2,2,79,23.0
36,306,82,2,
36,306,2,82,23.0
27,41,82,2,
27,41,2,82,23.0
28,8,82,2,
28,8,2,82,23.0
42,164,83,2,
42,164,2,83,23.0
2,22,83,2,
2,22,2,83,23.0
32,312,83,1,
32,312,1,83,23.0
20,306,83,1,
20,306,1,83,23.0
44,306,83,2,
44,306,2,83,23.0
5,3,85,2,
5,3,2,85,24.0
44,171,85,2,
44,171,2,85,24.0
28,14,86,1,
28,14,1,86,24.0
40,3,87,2,
40,3,2,87,24.0
37,9,87,2,
37,9,2,87,24.0
39,3,87,2,
39,3,2,87,24.0
3,183,88,2,
3,183,2,88,24.0
42,181,90,2,
42,181,2,90,24.0
3,24,90,2,
3,24,2,90,24.0
42,200,94,2,
42,200,2,94,24.0
2,328,104,2,
2,328,2,104,24.0
17,172,104,2,
17,172,2,104,24.0
3,327,105,2,
3,327,2,105,24.0
25,31,106,2,
25,31,2,106,24.0
0,326,108,2,
0,326,2,108,24.0
27,199,109,2,
27,199,2,109,24.0
29,191,109,2,
29,191,2,109,24.0
15,328,110,2,
15,328,2,110,24.0
17,22,110,1,
17,22,1,110,24.0
0,41,110,2,
0,41,2,110,24.0
34,33,110,1,
34,33,1,110,24.0
19,189,110,2,
19,189,2,110,24.0
3,327,111,2,
3,327,2,111,24.0
34,33,112,2,
34,33,2,112,24.0
5,4,117,2,
5,4,2,117,24.0
13,160,117,2,
13,160,2,117,24.0
34,33,117,2,
34,33,2,117,24.0
29,182,118,2,
29,182,2,118,24.0
37,9,120,1,
37,9,1,120,24.0
30,3,120,2,
30,3,2,120,24.0
34,33,120,2,
34,33,2,120,24.0
29,181,121,2,
29,181,2,121,24.0
5,2,123,2,
5,2,2,123,24.0
29,23,136,2,
29,23,2,136,24.0
43,318,137,2,
43,318,2,137,24.0
13,174,137,2,
13,174,2,137,24.0
32,171,138,2,
32,171,2,138,24.0
36,24,139,2,
36,24,2,139,24.0
37,4,139,2,
37,4,2,139,24.0
35,167,139,2,
35,167,2,139,24.0
29,183,139,2,
29,183,2,139,24.0
34,191,142,2,
34,191,2,142,24.0
14,32,147,2,
14,32,2,147,25.0
6,4,147,2,
6,4,2,147,25.0
36,175,148,2,
36,175,2,148,25.0
13,3,148,2,
13,3,2,148,25.0
29,191,148,2,
29,191,2,148,25.0
36,165,153,2,
36,165,2,153,25.0
36,166,155,2,
36,166,2,155,26.0
9,3,156,2,
9,3,2,156,27.0
8,319,158,1,
8,319,1,158,27.0
6,3,159,2,
6,3,2,159,27.0
35,3,159,2,
35,3,2,159,27.0
34,171,159,2,
34,171,2,159,27.0
13,3,159,2,
13,3,2,159,27.0
36,22,159,1,
36,22,1,159,27.0
30,2,159,2,
30,2,2,159,27.0
21,3,159,2,
21,3,2,159,27.0
40,8,160,2,
40,8,2,160,27.0
36,0,161,2,
36,0,2,161,27.0
34,164,162,1,
34,164,1,162,28.0
5,16,163,2,
5,16,2,163,28.0
42,1,163,2,
42,1,2,163,28.0
13,161,164,2,
13,161,2,164,28.0
32,158,164,2,
32,158,2,164,28.0
14,23,164,2,
14,23,2,164,28.0
8,319,164,2,
8,319,2,164,28.0
40,167,165,2,
40,167,2,165,28.0
42,22,166,2,
